"Title","Stream/Site name","Collected","Map Datum","Description","Latitude","Longitude","Nid","School"
"B","Blair Creek","Thu, 2009-02-12 08:22","","Test","44.540843","-123.388443","1455","Philomath Middle School"
"C","Blair Creek","Thu, 2009-08-20 10:10","","","44.540965","-123.388743","1646","Philomath Middle School"
"D","Blair Creek","Fri, 2009-08-28 17:00","","Testing auto title setup for camera points","44.540537","-123.378099","1648","Philomath Middle School"
"E","Blair Creek","Thu, 2009-08-27 20:09","","","44.541128","-123.388571","1653","Philomath Middle School"
"A","Johnson Creek - NUHS","Tue, 2010-01-12 16:00","wgs84","","45.457300","-122.642130","1657","New Urban High School"
"A","Salmon River David Douglas","Thu, 2009-10-08 17:00","WGS84","","45.349667","-121.987800","1786","David Douglas High School"
"F","Blair Creek","Tue, 2009-10-06 17:00","","test from sudent account","44.559765","-123.319834","1788","Philomath Middle School"
"G","Blair Creek","Sun, 2009-10-18 04:21","","Adding some text to the description to test auto titling on edit.","43.964584","-121.374481","1791","Philomath Middle School"
"H","Blair Creek","Sun, 2009-10-11 17:00","","this one should be named ""H""","43.703060","-119.759491","1793","Philomath Middle School"
"A","Whychus Creek","Wed, 2009-10-07 04:22","","","43.714972","-119.775970","1797","Sisters High School"
"B","Whychus Creek","Mon, 2009-10-05 04:21","","","44.165886","-120.275848","1798","Sisters High School"
"A","SE Belmont","Tue, 2009-10-13 17:00","","This is a test site that is up  at Mount Tabor Park. Camera point will contain real Photo Points and images but is mostly for testing and display purposes.","45.513497","-122.596470","1812","Glencoe Elementary School"
"B","SE Belmont","Mon, 2009-10-05 17:00","","","45.512689","-122.596281","1826","Glencoe Elementary School"
"A","Lotus Isle Cove","Mon, 2009-11-09 16:00","","test point","45.607223","-122.674241","2025","Blue Mountain Alternative High School"
"B","Salmon River David Douglas","Thu, 2009-10-08 17:00","","","45.349883","-121.988117","2057","David Douglas High School"
"C","Salmon River David Douglas","Thu, 2009-10-08 17:00","","","45.350200","-121.988767","2064","David Douglas High School"
"D","Salmon River David Douglas","Thu, 2009-10-08 17:00","","","45.350150","-121.988550","2069","David Douglas High School"
"A","Salmon River/Side Channel #1","Wed, 2010-05-19 17:00","","dfoo","45.376390","-122.015560","2333","Leadership And Entrepreneurship Public Charter High School"
"A","Wenaha River","Tue, 2010-10-05 11:05","WGS 84","lower end of tape - next to fall down log and near campsite #4","45.945470","-117.451810","2699","Troy Elementary School"
"A","Imnaha River","Tue, 2008-04-08 09:45","WGS 84","Lower End Photo point downstream of the 100 foot tape","45.559600","-116.834210","2798",""
"B","Imnaha River","Tue, 2008-04-08 09:45","WGS 84","upper end on the 100 foot tape","45.559220","-116.834040","2801",""
"C","Imnaha River","Thu, 2010-10-07 10:12","WGS 84","looking downstream from the bridge","45.707222","-116.845833","2807",""
"A","Camp Creek","Mon, 2008-10-20 11:45","WGS 84","lower end of the tape","45.580290","-116.962940","2829","Imnaha Elementary School"
"B","Camp Creek","Mon, 2008-10-20 11:45","WGS 84","upper end of transect tape","45.575020","-116.967760","2833","Imnaha Elementary School"
