"Stream/Site name","Collected","East","Delta"
"Blair Creek","Fri, 2010-07-30 11:12","11",""
"Blair Creek","Fri, 2010-07-30 11:12","14","1"
"Blair Creek","Fri, 2010-07-30 11:12","16","2"
"Blair Creek","Fri, 2010-07-30 11:12","17","3"
"Blair Creek","Fri, 2010-07-30 11:12","18","4"
"Blair Creek","Fri, 2010-07-30 11:12","19","5"
"Blair Creek","Fri, 2010-07-30 11:12","20","6"
"Blair Creek","Fri, 2010-07-30 11:12","21","7"
"Blair Creek","Fri, 2010-07-30 11:12","22","8"
"Blair Creek","Fri, 2010-07-30 11:12","23","9"
"Blair Creek","Fri, 2010-07-30 11:12","24","10"
"Blair Creek","Fri, 2010-07-30 11:12","26","11"
"Blair Creek","Fri, 2010-07-30 11:12","27","12"
"Blair Creek","Fri, 2010-07-30 11:12","28","13"
"Blair Creek","Fri, 2010-07-30 11:12","33","14"
"Blair Creek","Fri, 2010-07-30 11:12","34","15"
"Lotus Isle Cove","Tue, 2010-07-13 (All day)","4",""
"Lotus Isle Cove","Tue, 2010-07-13 (All day)","9","1"
"Lotus Isle Cove","Tue, 2010-07-13 (All day)","14","2"
"Lotus Isle Cove","Tue, 2010-07-13 (All day)","18","3"
"Lotus Isle Cove","Tue, 2010-07-13 (All day)","19","4"
"Lotus Isle Cove","Tue, 2010-07-13 (All day)","23","5"
"Lotus Isle Cove","Tue, 2010-07-13 (All day)","28","6"
"Lotus Isle Cove","Tue, 2010-07-13 (All day)","33","7"
"SE Belmont","Thu, 2010-07-15 11:22","4",""
"SE Belmont","Thu, 2010-07-15 11:22","10","1"
"SE Belmont","Thu, 2010-07-15 11:22","11","2"
"SE Belmont","Thu, 2010-07-15 11:22","16","3"
"SE Belmont","Thu, 2010-07-15 11:22","17","4"
"SE Belmont","Thu, 2010-07-15 11:22","18","5"
"SE Belmont","Thu, 2010-07-15 11:22","23","6"
"SE Belmont","Thu, 2010-07-15 11:22","24","7"
"SE Belmont","Thu, 2010-07-15 11:22","28","8"
"SE Belmont","Fri, 2010-07-23 15:33","11",""
"SE Belmont","Fri, 2010-07-23 15:33","16","1"
"SE Belmont","Fri, 2010-07-23 15:33","17","2"
"SE Belmont","Fri, 2010-07-23 15:33","18","3"
"SE Belmont","Fri, 2010-07-23 15:33","22","4"
"SE Belmont","Fri, 2010-07-23 15:33","23","5"
"SE Belmont","Fri, 2010-07-23 15:33","24","6"
"SE Belmont","Fri, 2010-07-23 15:33","29","7"
"Lotus Isle Cove","Sat, 2010-07-31 (All day)","3",""
"Lotus Isle Cove","Sat, 2010-07-31 (All day)","4","1"
"Lotus Isle Cove","Sat, 2010-07-31 (All day)","8","2"
"Lotus Isle Cove","Sat, 2010-07-31 (All day)","11","3"
"Lotus Isle Cove","Sat, 2010-07-31 (All day)","13","4"
"Lotus Isle Cove","Sat, 2010-07-31 (All day)","18","5"
"Lotus Isle Cove","Sat, 2010-07-31 (All day)","19","6"
"Lotus Isle Cove","Sat, 2010-07-31 (All day)","24","7"
"Lotus Isle Cove","Sat, 2010-07-31 (All day)","26","8"
"Lotus Isle Cove","Sat, 2010-07-31 (All day)","29","9"
"Lotus Isle Cove","Sat, 2010-07-31 (All day)","33","10"
"Lotus Isle Cove","Sat, 2010-07-31 (All day)","34","11"
"SE Belmont","Mon, 2010-09-06 (All day)","16",""
"SE Belmont","Mon, 2010-09-06 (All day)","17","1"
"SE Belmont","Mon, 2010-09-06 (All day)","18","2"
"SE Belmont","Mon, 2010-09-06 (All day)","22","3"
"SE Belmont","Mon, 2010-09-06 (All day)","24","4"
"Salmon River #1","Thu, 2010-09-23 (All day)","3",""
"Salmon River #1","Thu, 2010-09-23 (All day)","4","1"
"Salmon River #1","Thu, 2010-09-23 (All day)","8","2"
"Salmon River #1","Thu, 2010-09-23 (All day)","10","3"
"Salmon River #1","Thu, 2010-09-23 (All day)","11","4"
"Salmon River #1","Thu, 2010-09-23 (All day)","18","5"
"Salmon River #1","Thu, 2010-09-23 (All day)","19","6"
"Salmon River #1","Thu, 2010-09-23 (All day)","20","7"
"Salmon River #1","Thu, 2010-09-23 (All day)","21","8"
"Salmon River #1","Thu, 2010-09-23 (All day)","24","9"
"Salmon River #1","Thu, 2010-09-23 (All day)","26","10"
"Salmon River #1","Thu, 2010-09-23 (All day)","28","11"
"Salmon River #1","Thu, 2010-09-23 (All day)","29","12"
"Salmon River #1","Thu, 2010-09-23 (All day)","34","13"
"Riverside Campground","Thu, 2010-10-07 (All day)","4",""
"Riverside Campground","Thu, 2010-10-07 (All day)","10","1"
"Riverside Campground","Thu, 2010-10-07 (All day)","11","2"
"Riverside Campground","Thu, 2010-10-07 (All day)","17","3"
"Riverside Campground","Thu, 2010-10-07 (All day)","18","4"
"Riverside Campground","Thu, 2010-10-07 (All day)","19","5"
"Riverside Campground","Thu, 2010-10-07 (All day)","23","6"
"Riverside Campground","Thu, 2010-10-07 (All day)","24","7"
"Riverside Campground","Thu, 2010-10-07 (All day)","26","8"
"Riverside Campground","Thu, 2010-10-07 (All day)","29","9"
"Riverside Campground","Tue, 2010-10-05 (All day)","14",""
"Riverside Campground","Tue, 2010-10-05 (All day)","4",""
"Riverside Campground","Tue, 2010-10-05 (All day)","10","1"
"Riverside Campground","Tue, 2010-10-05 (All day)","11","2"
"Riverside Campground","Tue, 2010-10-05 (All day)","17","3"
"Riverside Campground","Tue, 2010-10-05 (All day)","18","4"
"Riverside Campground","Tue, 2010-10-05 (All day)","19","5"
"Riverside Campground","Tue, 2010-10-05 (All day)","23","6"
"Riverside Campground","Tue, 2010-10-05 (All day)","24","7"
"Riverside Campground","Tue, 2010-10-05 (All day)","26","8"
"Riverside Campground","Tue, 2010-10-05 (All day)","29","9"
"Riverside Campground","Tue, 2010-10-05 11:55","14",""
"Riverside Campground","Tue, 2010-10-05 (All day)","14",""
"Riverside Campground","Tue, 2010-10-05 (All day)","14",""
"Riverside Campground","Tue, 2010-10-05 02:00","19",""
"Riverside Campground","Tue, 2010-10-05 10:00","9",""
"Riverside Campground","Tue, 2010-10-05 11:45","11",""
"SE Belmont","Thu, 2010-10-14 23:03","17",""
"SE Belmont","Tue, 2010-10-26 14:04","",""
"Cedar Creek","Wed, 2010-11-10 12:13","",""
"Clear Creek","Mon, 2011-01-24 13:49","3",""
"Clear Creek","Mon, 2011-01-24 13:49","8","1"
"Clear Creek","Mon, 2011-01-24 13:49","9","2"
"Clear Creek","Mon, 2011-01-24 13:49","13","3"
"Clear Creek","Mon, 2011-01-24 13:49","14","4"
"Clear Creek","Mon, 2011-01-24 13:49","15","5"
"Clear Creek","Mon, 2011-01-24 13:49","16","6"
"Clear Creek","Mon, 2011-01-24 13:49","19","7"
"Clear Creek","Mon, 2011-01-24 13:49","20","8"
"Clear Creek","Mon, 2011-01-24 13:49","21","9"
"Clear Creek","Mon, 2011-01-24 13:49","22","10"
"SE Belmont","Thu, 2011-04-14 09:57","9",""
"SE Belmont","Thu, 2011-04-14 09:57","10","1"
"SE Belmont","Thu, 2011-04-14 09:57","15","2"
"SE Belmont","Tue, 2011-04-05 21:59","8",""
"SE Belmont","Tue, 2011-04-05 21:59","13","1"
"SE Belmont","Tue, 2011-04-05 21:59","14","2"
"SE Belmont","Tue, 2011-04-05 21:59","15","3"
"SE Belmont","Tue, 2011-04-05 21:59","19","4"
"SE Belmont","Tue, 2011-04-05 21:59","20","5"
"SE Belmont","Tue, 2011-04-05 21:59","21","6"
"Oregon 4-H Center","Thu, 2011-08-04 13:30","3",""
"Oregon 4-H Center","Thu, 2011-08-04 13:30","4","1"
"Oregon 4-H Center","Thu, 2011-08-04 13:30","8","2"
"Oregon 4-H Center","Thu, 2011-08-04 13:30","9","3"
"Oregon 4-H Center","Thu, 2011-08-04 13:30","10","4"
