"Stream/Site name","Collected","North","Delta","Nid","Uid"
"Blair Creek","Fri, 2010-07-30 11:12","3","","2350","14"
"Blair Creek","Fri, 2010-07-30 11:12","4","1","2350","14"
"Blair Creek","Fri, 2010-07-30 11:12","9","2","2350","14"
"Blair Creek","Fri, 2010-07-30 11:12","10","3","2350","14"
"Blair Creek","Fri, 2010-07-30 11:12","11","4","2350","14"
"Blair Creek","Fri, 2010-07-30 11:12","16","5","2350","14"
"Blair Creek","Fri, 2010-07-30 11:12","17","6","2350","14"
"Blair Creek","Fri, 2010-07-30 11:12","18","7","2350","14"
"Blair Creek","Fri, 2010-07-30 11:12","20","8","2350","14"
"Blair Creek","Fri, 2010-07-30 11:12","21","9","2350","14"
"Blair Creek","Fri, 2010-07-30 11:12","22","10","2350","14"
"Blair Creek","Fri, 2010-07-30 11:12","23","11","2350","14"
"Blair Creek","Fri, 2010-07-30 11:12","24","12","2350","14"
"Blair Creek","Fri, 2010-07-30 11:12","27","13","2350","14"
"Blair Creek","Fri, 2010-07-30 11:12","28","14","2350","14"
"Blair Creek","Fri, 2010-07-30 11:12","29","15","2350","14"
"Blair Creek","Fri, 2010-07-30 11:12","33","16","2350","14"
"Blair Creek","Fri, 2010-07-30 11:12","34","17","2350","14"
"Lotus Isle Cove","Tue, 2010-07-13 (All day)","3","","2352","1"
"Lotus Isle Cove","Tue, 2010-07-13 (All day)","10","1","2352","1"
"Lotus Isle Cove","Tue, 2010-07-13 (All day)","13","2","2352","1"
"Lotus Isle Cove","Tue, 2010-07-13 (All day)","17","3","2352","1"
"Lotus Isle Cove","Tue, 2010-07-13 (All day)","20","4","2352","1"
"Lotus Isle Cove","Tue, 2010-07-13 (All day)","24","5","2352","1"
"Lotus Isle Cove","Tue, 2010-07-13 (All day)","27","6","2352","1"
"Lotus Isle Cove","Tue, 2010-07-13 (All day)","34","7","2352","1"
"SE Belmont","Thu, 2010-07-15 11:22","16","","2371","1"
"SE Belmont","Thu, 2010-07-15 11:22","20","1","2371","1"
"SE Belmont","Thu, 2010-07-15 11:22","21","2","2371","1"
"SE Belmont","Thu, 2010-07-15 11:22","22","3","2371","1"
"SE Belmont","Thu, 2010-07-15 11:22","23","4","2371","1"
"SE Belmont","Thu, 2010-07-15 11:22","27","5","2371","1"
"SE Belmont","Thu, 2010-07-15 11:22","28","6","2371","1"
"SE Belmont","Thu, 2010-07-15 11:22","29","7","2371","1"
"SE Belmont","Thu, 2010-07-15 11:22","34","8","2371","1"
"SE Belmont","Fri, 2010-07-23 15:33","3","","2372","1"
"SE Belmont","Fri, 2010-07-23 15:33","4","1","2372","1"
"SE Belmont","Fri, 2010-07-23 15:33","8","2","2372","1"
"SE Belmont","Fri, 2010-07-23 15:33","9","3","2372","1"
"SE Belmont","Fri, 2010-07-23 15:33","10","4","2372","1"
"SE Belmont","Fri, 2010-07-23 15:33","11","5","2372","1"
"SE Belmont","Fri, 2010-07-23 15:33","14","6","2372","1"
