"Stream/Site name","Collected","South","Delta","Nid","Uid"
"Blair Creek","Fri, 2010-07-30 11:12","9","","2350","14"
"Blair Creek","Fri, 2010-07-30 11:12","10","1","2350","14"
"Blair Creek","Fri, 2010-07-30 11:12","13","2","2350","14"
"Blair Creek","Fri, 2010-07-30 11:12","15","3","2350","14"
"Blair Creek","Fri, 2010-07-30 11:12","17","4","2350","14"
"Blair Creek","Fri, 2010-07-30 11:12","19","5","2350","14"
"Blair Creek","Fri, 2010-07-30 11:12","20","6","2350","14"
"Blair Creek","Fri, 2010-07-30 11:12","21","7","2350","14"
"Blair Creek","Fri, 2010-07-30 11:12","22","8","2350","14"
"Blair Creek","Fri, 2010-07-30 11:12","23","9","2350","14"
"Blair Creek","Fri, 2010-07-30 11:12","24","10","2350","14"
"Blair Creek","Fri, 2010-07-30 11:12","26","11","2350","14"
"Blair Creek","Fri, 2010-07-30 11:12","27","12","2350","14"
"Blair Creek","Fri, 2010-07-30 11:12","28","13","2350","14"
"Blair Creek","Fri, 2010-07-30 11:12","29","14","2350","14"
"Blair Creek","Fri, 2010-07-30 11:12","33","15","2350","14"
"Blair Creek","Fri, 2010-07-30 11:12","34","16","2350","14"
"Lotus Isle Cove","Tue, 2010-07-13 (All day)","4","","2352","1"
"Lotus Isle Cove","Tue, 2010-07-13 (All day)","9","1","2352","1"
"Lotus Isle Cove","Tue, 2010-07-13 (All day)","14","2","2352","1"
"Lotus Isle Cove","Tue, 2010-07-13 (All day)","18","3","2352","1"
"Lotus Isle Cove","Tue, 2010-07-13 (All day)","19","4","2352","1"
"Lotus Isle Cove","Tue, 2010-07-13 (All day)","23","5","2352","1"
"Lotus Isle Cove","Tue, 2010-07-13 (All day)","28","6","2352","1"
"Lotus Isle Cove","Tue, 2010-07-13 (All day)","33","7","2352","1"
"SE Belmont","Thu, 2010-07-15 11:22","3","","2371","1"
"SE Belmont","Thu, 2010-07-15 11:22","4","1","2371","1"
"SE Belmont","Thu, 2010-07-15 11:22","9","2","2371","1"
"SE Belmont","Thu, 2010-07-15 11:22","10","3","2371","1"
"SE Belmont","Thu, 2010-07-15 11:22","11","4","2371","1"
"SE Belmont","Thu, 2010-07-15 11:22","14","5","2371","1"
"SE Belmont","Thu, 2010-07-15 11:22","16","6","2371","1"
"SE Belmont","Thu, 2010-07-15 11:22","17","7","2371","1"
"SE Belmont","Thu, 2010-07-15 11:22","18","8","2371","1"
"SE Belmont","Thu, 2010-07-15 11:22","23","9","2371","1"
"SE Belmont","Thu, 2010-07-15 11:22","24","10","2371","1"
"SE Belmont","Fri, 2010-07-23 15:33","19","","2372","1"
"SE Belmont","Fri, 2010-07-23 15:33","20","1","2372","1"
"SE Belmont","Fri, 2010-07-23 15:33","21","2","2372","1"
"SE Belmont","Fri, 2010-07-23 15:33","22","3","2372","1"
