"Stream/Site name","Collected","West","Delta"
"Blair Creek","Fri, 2010-07-30 11:12","3",""
"Blair Creek","Fri, 2010-07-30 11:12","4","1"
"Blair Creek","Fri, 2010-07-30 11:12","8","2"
"Blair Creek","Fri, 2010-07-30 11:12","9","3"
"Blair Creek","Fri, 2010-07-30 11:12","10","4"
"Blair Creek","Fri, 2010-07-30 11:12","11","5"
"Blair Creek","Fri, 2010-07-30 11:12","13","6"
"Blair Creek","Fri, 2010-07-30 11:12","14","7"
"Blair Creek","Fri, 2010-07-30 11:12","15","8"
"Blair Creek","Fri, 2010-07-30 11:12","16","9"
"Blair Creek","Fri, 2010-07-30 11:12","19","10"
"Blair Creek","Fri, 2010-07-30 11:12","20","11"
"Blair Creek","Fri, 2010-07-30 11:12","21","12"
"Blair Creek","Fri, 2010-07-30 11:12","26","13"
"Blair Creek","Fri, 2010-07-30 11:12","27","14"
"Blair Creek","Fri, 2010-07-30 11:12","28","15"
"Blair Creek","Fri, 2010-07-30 11:12","33","16"
"Lotus Isle Cove","Tue, 2010-07-13 (All day)","3",""
"Lotus Isle Cove","Tue, 2010-07-13 (All day)","10","1"
"Lotus Isle Cove","Tue, 2010-07-13 (All day)","13","2"
"Lotus Isle Cove","Tue, 2010-07-13 (All day)","17","3"
"Lotus Isle Cove","Tue, 2010-07-13 (All day)","20","4"
"Lotus Isle Cove","Tue, 2010-07-13 (All day)","24","5"
"Lotus Isle Cove","Tue, 2010-07-13 (All day)","27","6"
"Lotus Isle Cove","Tue, 2010-07-13 (All day)","34","7"
"SE Belmont","Thu, 2010-07-15 11:22","3",""
"SE Belmont","Thu, 2010-07-15 11:22","4","1"
"SE Belmont","Thu, 2010-07-15 11:22","8","2"
"SE Belmont","Thu, 2010-07-15 11:22","9","3"
"SE Belmont","Thu, 2010-07-15 11:22","10","4"
"SE Belmont","Thu, 2010-07-15 11:22","11","5"
"SE Belmont","Thu, 2010-07-15 11:22","13","6"
"SE Belmont","Thu, 2010-07-15 11:22","14","7"
"SE Belmont","Thu, 2010-07-15 11:22","15","8"
"SE Belmont","Thu, 2010-07-15 11:22","16","9"
"SE Belmont","Thu, 2010-07-15 11:22","17","10"
"SE Belmont","Thu, 2010-07-15 11:22","18","11"
"SE Belmont","Thu, 2010-07-15 11:22","19","12"
"SE Belmont","Thu, 2010-07-15 11:22","20","13"
"SE Belmont","Thu, 2010-07-15 11:22","21","14"
"SE Belmont","Thu, 2010-07-15 11:22","22","15"
"SE Belmont","Thu, 2010-07-15 11:22","23","16"
"SE Belmont","Thu, 2010-07-15 11:22","24","17"
"SE Belmont","Thu, 2010-07-15 11:22","26","18"
"SE Belmont","Thu, 2010-07-15 11:22","27","19"
"SE Belmont","Thu, 2010-07-15 11:22","28","20"
"SE Belmont","Thu, 2010-07-15 11:22","29","21"
"SE Belmont","Thu, 2010-07-15 11:22","33","22"
"SE Belmont","Thu, 2010-07-15 11:22","34","23"
"SE Belmont","Fri, 2010-07-23 15:33","3",""
"SE Belmont","Fri, 2010-07-23 15:33","4","1"
"SE Belmont","Fri, 2010-07-23 15:33","8","2"
"SE Belmont","Fri, 2010-07-23 15:33","9","3"
"SE Belmont","Fri, 2010-07-23 15:33","10","4"
"SE Belmont","Fri, 2010-07-23 15:33","15","5"
"SE Belmont","Fri, 2010-07-23 15:33","16","6"
"SE Belmont","Fri, 2010-07-23 15:33","17","7"
"SE Belmont","Fri, 2010-07-23 15:33","22","8"
"SE Belmont","Fri, 2010-07-23 15:33","23","9"
"SE Belmont","Fri, 2010-07-23 15:33","24","10"
"SE Belmont","Fri, 2010-07-23 15:33","28","11"
"SE Belmont","Fri, 2010-07-23 15:33","29","12"
"SE Belmont","Fri, 2010-07-23 15:33","34","13"
"Lotus Isle Cove","Sat, 2010-07-31 (All day)","15",""
"SE Belmont","Mon, 2010-09-06 (All day)","15",""
"SE Belmont","Mon, 2010-09-06 (All day)","16","1"
"SE Belmont","Mon, 2010-09-06 (All day)","21","2"
"SE Belmont","Mon, 2010-09-06 (All day)","22","3"
"SE Belmont","Mon, 2010-09-06 (All day)","27","4"
"SE Belmont","Mon, 2010-09-06 (All day)","34","5"
"Salmon River #1","Thu, 2010-09-23 (All day)","",""
"Riverside Campground","Thu, 2010-10-07 (All day)","4",""
"Riverside Campground","Thu, 2010-10-07 (All day)","10","1"
"Riverside Campground","Thu, 2010-10-07 (All day)","11","2"
"Riverside Campground","Thu, 2010-10-07 (All day)","21","3"
"Riverside Campground","Thu, 2010-10-07 (All day)","22","4"
"Riverside Campground","Thu, 2010-10-07 (All day)","23","5"
"Riverside Campground","Thu, 2010-10-07 (All day)","24","6"
"Riverside Campground","Thu, 2010-10-07 (All day)","27","7"
"Riverside Campground","Thu, 2010-10-07 (All day)","28","8"
