"Title","Gallery Description","Post date","Gallery Id","Picture Description","Nid","Uid","Filename","Stream/Site name","Gallery Image"
"Nov. 9th, 2011","","2012-05-16 09:31","4092","At the beginning.","4093","228","dscf0042.jpg","Tenino Court Site","http://drupal.streamwebs.org/sites/streamwebs.org/files/user/vilhauerr/gallery4092/dscf0042.jpg"
"Nov. 9th, 2011","","2012-05-16 09:32","4092","Getting A Little Crazy","4094","228","dscf0059.jpg","Tenino Court Site","http://drupal.streamwebs.org/sites/streamwebs.org/files/user/vilhauerr/gallery4092/dscf0059.jpg"
"Water Quality","","2012-05-16 09:54","4095","","4096","125","more_class_pix_022.jpg","Tenino Court Site","http://drupal.streamwebs.org/sites/streamwebs.org/files/user/macunningham/gallery4095/more_class_pix_022.jpg"
"Water Quality","","2012-05-16 09:54","4095","","4097","125","more_class_pix_024.jpg","Tenino Court Site","http://drupal.streamwebs.org/sites/streamwebs.org/files/user/macunningham/gallery4095/more_class_pix_024.jpg"
"Water Quality","","2012-05-16 09:54","4095","","4098","125","more_class_pix_025.jpg","Tenino Court Site","http://drupal.streamwebs.org/sites/streamwebs.org/files/user/macunningham/gallery4095/more_class_pix_025.jpg"
"Water Quality","","2012-05-16 09:54","4095","","4099","125","school_pix_087.jpg","Tenino Court Site","http://drupal.streamwebs.org/sites/streamwebs.org/files/user/macunningham/gallery4095/school_pix_087.jpg"
"Water Quality","","2012-05-16 09:54","4095","","4100","125","school_pix_088.jpg","Tenino Court Site","http://drupal.streamwebs.org/sites/streamwebs.org/files/user/macunningham/gallery4095/school_pix_088.jpg"
"Water Quality","","2012-05-16 09:54","4095","","4101","125","school_pix_120.jpg","Tenino Court Site","http://drupal.streamwebs.org/sites/streamwebs.org/files/user/macunningham/gallery4095/school_pix_120.jpg"
"Underwater Shots","","2012-05-16 10:25","4102","Wallowa River","4103","109","underwater_1.jpg","Joseph City Park","http://drupal.streamwebs.org/sites/streamwebs.org/files/user/arbusch/gallery4102/underwater_1.jpg"
"Underwater Shots","","2012-05-16 10:25","4102","Collecting macroinvertebrates","4104","109","underwater_2.jpg","Joseph City Park","http://drupal.streamwebs.org/sites/streamwebs.org/files/user/arbusch/gallery4102/underwater_2.jpg"
"Underwater Shots","","2012-05-16 10:25","4102","Wallowa River underwater","4105","109","underwater_3.jpg","Joseph City Park","http://drupal.streamwebs.org/sites/streamwebs.org/files/user/arbusch/gallery4102/underwater_3.jpg"
"Pilot Day - 11/18/2011","","2012-05-16 10:33","4106","Planting camas in elk exclosure","4107","300","img_3025.jpg","Matson Creek MWS Youth Program","http://drupal.streamwebs.org/sites/streamwebs.org/files/user/coos_watershed_association/gallery4106/img_3025.jpg"
"Pilot Day - 11/18/2011","","2012-05-16 10:33","4106","Introduction to watersheds presentation","4108","300","img_3418.jpg","Matson Creek MWS Youth Program","http://drupal.streamwebs.org/sites/streamwebs.org/files/user/coos_watershed_association/gallery4106/img_3418.jpg"
"Pilot Day - 11/18/2011","","2012-05-16 10:33","4106","Topography maps","4109","300","img_3423.jpg","Matson Creek MWS Youth Program","http://drupal.streamwebs.org/sites/streamwebs.org/files/user/coos_watershed_association/gallery4106/img_3423.jpg"
"Pilot Day - 11/18/2011","","2012-05-16 10:33","4106","Introduction to Matson Creek Wetland Preserve","4110","300","img_3434.jpg","Matson Creek MWS Youth Program","http://drupal.streamwebs.org/sites/streamwebs.org/files/user/coos_watershed_association/gallery4106/img_3434.jpg"
"Pilot Day - 11/18/2011","","2012-05-16 10:33","4106","Discussion and reflection","4111","300","img_3439.jpg","Matson Creek MWS Youth Program","http://drupal.streamwebs.org/sites/streamwebs.org/files/user/coos_watershed_association/gallery4106/img_3439.jpg"
"Pilot Day - 11/18/2011","","2012-05-16 10:33","4106","Removing blackberry bushes","4112","300","img_3449.jpg","Matson Creek MWS Youth Program","http://drupal.streamwebs.org/sites/streamwebs.org/files/user/coos_watershed_association/gallery4106/img_3449.jpg"
"Pilot Day - 11/18/2011","","2012-05-16 10:33","4106","Preparing the planting area","4113","300","img_3452.jpg","Matson Creek MWS Youth Program","http://drupal.streamwebs.org/sites/streamwebs.org/files/user/coos_watershed_association/gallery4106/img_3452.jpg"
"Pilot Day - 11/18/2011","","2012-05-16 10:33","4106","Digging planting beds","4114","300","img_3461.jpg","Matson Creek MWS Youth Program","http://drupal.streamwebs.org/sites/streamwebs.org/files/user/coos_watershed_association/gallery4106/img_3461.jpg"
"Pilot Day - 11/18/2011","","2012-05-16 10:34","4106","Laying mulch on wapato plantings","4115","300","img_3465.jpg","Matson Creek MWS Youth Program","http://drupal.streamwebs.org/sites/streamwebs.org/files/user/coos_watershed_association/gallery4106/img_3465.jpg"
"Pilot Day - 11/18/2011","","2012-05-16 10:34","4106","Planting wapato in ""micro-marshes""","4116","300","img_3484.jpg","Matson Creek MWS Youth Program","http://drupal.streamwebs.org/sites/streamwebs.org/files/user/coos_watershed_association/gallery4106/img_3484.jpg"
"Pilot Day - 11/18/2011","","2012-05-16 10:34","4106","Crabapple plantings in elk exclosure","4117","300","img_3491.jpg","Matson Creek MWS Youth Program","http://drupal.streamwebs.org/sites/streamwebs.org/files/user/coos_watershed_association/gallery4106/img_3491.jpg"
