"Title","Journal Entry Field","Post date","Nid","Uid","Stream/Site name"
"A Day on Whychus"," Walking along the dusty trail beside the creek, I look around where I was and smiled. It always makes me happy whenever I am outside, especially in the wilderness. The beauty and importance of the area made me feel good that I was at least learning about what I could do to help out the Whychus Creek habitat and make it a better place for fish and other wildlife. I took in a deep breath and let it out slowly. The fresh air and peacefulness the area provided was accentuated after a long day of being cooped up in classroom after classroom of boring lectures. I was grateful of being able to do this class and participate in activities like this where it actually feel like I am making a difference. The creek bubbled along to my left as I admired the lush, but depressingly undersized riparian zone surrounding it. Farther off the creek bed, to my right, large Ponderosa pine trees loomed high above me, showing a surprisingly vast difference in the type of vegetation thriving in the area. It amazed me to think that something that looked like it could survive in a fairly dry, almost desertous climate, could be found in such close proximity to other plants, such as alders, willows, and grasses, that depended so heavily on a lush riparian zone. This really showed the diversity of wildlife that we are lucky to experience here in Sister, OR. At that moment, I became much more aware of how important it is for all of us to put forth an effort to maintain the natural wildlife of the area we call home.  

 
beth
 
 
 
 ","2009-04-19 20:02","1579","15","Whychus Creek"
"test journal entry","Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Aenean commodo ligula eget dolor. Aenean massa. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Donec quam felis, ultricies nec, pellentesque eu, pretium quis, sem. Nulla consequat massa quis enim. Donec pede justo, fringilla vel, aliquet nec, vulputate eget, arcu. In enim justo, rhoncus ut, imperdiet a, venenatis vitae, justo. Nullam dictum felis eu pede mollis pretium. Integer tincidunt. Cras dapibus. Vivamus elementum semper nisi. Aenean vulputate eleifend tellus. Aenean leo ligula, porttitor eu, consequat vitae, eleifend ac, enim. Aliquam lorem ante, dapibus in, viverra quis, feugiat a, tellus. Phasellus viverra nulla ut metus varius laoreet. Quisque rutrum. Aenean imperdiet. Etiam ultricies nisi vel augue. Curabitur ullamcorper ultricies nisi. Nam eget dui. Etiam rhoncus. Maecenas tempus, tellus eget condimentum rhoncus, sem quam semper libero, sit amet adipiscing sem neque sed ipsum. Nam quam nunc, blandit vel, luctus pulvinar, hendrerit id, lorem. Maecenas nec odio et ante tincidunt tempus. Donec vitae sapien ut libero venenatis faucibus. Nullam quis ante. Etiam sit amet orci eget eros faucibus tincidunt. Duis leo. Sed fringilla mauris sit amet nibh. Donec sodales sagittis magna. Sed consequat, leo eget bibendum sodales, augue velit cursus nunc.","2009-05-01 21:50","1599","1","Blair Creek"
"Test Journal Entry"," This is a freshwater bryozoa colony. Seen in sheltered areas of our river for a couple months in late summer when the water temprature is at it's warmest. They are always attached to surfaces (usually branches & logs) near the surface where it's warmer.","2009-11-15 14:59","2024","10","Lotus Isle Cove"
"Student Video Projects at Ryan Meadow","
	During the 2009-2010 school year, creative and inspired students from the Chamberlain program in Bend made a documentary video at Ryan Meadow. The video project was created entirely by students.","2010-10-05 14:18","2680","113","Ryan Meadow Student Stewardship Projects"
"Grande Ronde Watershed October 5, 2010","
	Today 7 kids from the Troy School monitored both the Grande Ronde and Wenaha rivers, right near the confluence of the two rivers. About 4-5 anglers were in the river during our data collection but none of them caught a fish while we were at the river.

	 

	It was a great day on the river. It had rain the past 24 hours but today it was partly cloudy and the sun was shining. The kids were also in the process of making ""Do No Litter"" Signs to remind anglers, rafters, and visitors to pick up after themselves. We even picked up a few pieces of trash.

	 

	This was the first time the Troy School had monitor their local rivers.

	 ","2010-10-05 16:11","2695","109","Grande Ronde River"
"salmon","","2010-10-07 11:03","2725","117","Riverside Campground"
"Imnaha River Watershed October 7, 2010","
	The night before it had rain steady but by the morning the sun was peeking out through the clouds. John, Taylor, Wyat, Rylie, Shyla, and Morgan set off to explore the Imnaha River and to monitor its condition. They were eager and ambitious in completing all the task. For myself and Dave, we were new to the sampling sites and good things these veteran students knew the sites and were they had collected the previous years. They really taught us than us teaching them.","2010-10-13 10:14","2793","109","Imnaha River"
"Notes on site/plants","

		you will need to make sure that you know weather it is shady or sunny in different areas in order to find they correct type of plants.

		find plants to plant that provide shade for other plants, help avoide invasive plants, stabalize the bank

		need plants with different life spans to help with decomposition. you need plants that will die earlier so that they (trees) can fall into the water and provide decomposition, and slow the current for the salmon.

		check plants weather tollerance. in most areas at some point they will be fully submerged in the river


			also when planting the new plants, you need to check the softness of the soil, and be aware that there is a layer of sand over the soil.



			 



			 



	AREA:


		sunny

		tons of moisture

		at times will be hit by flood water, submerging entire bank

		ideal for plants that need a ton of water

		needs plants to stablize bank (i.e. deep strong roots)


	LOCAL PLANTS:


		sowrd fern

		native oxalis

		western hemlock tree

		big leaf maple

		salmon berry shrub

		cascarra tree

		alder tree

		pasfic ninebark tree

		hazlenut shrub

		snow berry shrub


	 ","2010-10-22 10:13","2872","135","Salmon River/Side Channel #1"
"Bear Creek 10-19-2010","
	It was extremely cold that day but each team worked very hard. We didn't find much diversity when sampling for macroinvertebrates. ODFW joined us this day as well and electroshocked the river. We didn't expect to find many fish due to a natural landslide earlier that spring. Surpriselying, we collected rainbow trout, chinook salmon, and sculpin. See our gallery for that data listed as wet fish sampling.","2010-10-25 09:37","2884","109","Bear Creek"
"The day at Bear Creek","
	weather: cold , windy ,wet     

	what  we saw : rocks, water, no fish, trees

	 what  we did : we did many samples on the water and did many test.","2010-10-25 14:21","2899","109","Bear Creek"
