"Title","Nid","Uid","Site Name","Description","File"
"Water Quality Tests","1588","15","Blair Creek","anna_hughes_and_areli_arredondo_-_bc_prep.doc","sites/streamwebs.org/files/user/beth/files/anna_hughes_and_areli_arredondo_-_bc_prep.doc"
"Restoration on Blair Creek","1589","15","Blair Creek","connor_king_-_blair_creek_restoration.doc","sites/streamwebs.org/files/user/beth/files/connor_king_-_blair_creek_restoration.doc"
"Ben Hayes - Tracing the Deschutes","1597","15","Whychus Creek","ben_hayes.pdf","sites/streamwebs.org/files/user/beth/files/ben_hayes.pdf"
"test file upload","2027","10","Lotus Isle Cove","font_groups.txt","sites/streamwebs.org/files/user/student/files/font_groups.txt"
"Johnson Creek Virtual Watershed Tour","2407","17","Johnson Creek - NUHS","virtual_watershed_tour_for_1000_drops.ppt","sites/streamwebs.org/files/user/new_urban09/files/virtual_watershed_tour_for_1000_drops.ppt"
"Trip Report","2533","74","Youth International Salmon Forum 2010","trip_report_-_campers.pdf","sites/streamwebs.org/files/user/traci_price/files/trip_report_-_campers.pdf"
"Salmon Conservation Declaration","2534","74","Youth International Salmon Forum 2010","declaration.pdf","sites/streamwebs.org/files/user/traci_price/files/declaration.pdf"
"Joseph City Park Excel Data Sheet from 2007-2009","2752","109","Joseph City Park","wallowa_river_-_jcp_data.xls","sites/streamwebs.org/files/user/arbusch/files/wallowa_river_-_jcp_data.xls"
"Joseph Prairie Creek Data Sheets from 2007-2009","2762","109","Joseph Prairie Creek","prairie_creek_-_johnson_ranch_data.xls","sites/streamwebs.org/files/user/arbusch/files/prairie_creek_-_johnson_ranch_data.xls"
"Wallowa River Tamkaliks Site Excel Data from 2008 to 2009","2772","109","Wallowa River Tamkaliks Site","wallowa_river_-_tamkaliks_data.xls","sites/streamwebs.org/files/user/arbusch/files/wallowa_river_-_tamkaliks_data.xls"
"Bear Creek Excel Data Sheet from 2008-2009","2786","109","Bear Creek","bear_creek_data.xls","sites/streamwebs.org/files/user/arbusch/files/bear_creek_data.xls"
