"Stream/Site name","School","Collected","Post date","Time spent sorting/identifying","# of people sorting/identifying","Water type","caddisfly","mayfly","riffle beetle","stonefly","water penny","dobsonfly","clam / mussel","crane fly","crayfish","damselfly","dragonfly","scud","fishfly","alderfly","mite","aquatic worm","blackfly","leech","midge","snail","mosquito larva","Uid"
"Amazon Headwaters - Martin Street trail","","Fri, 2015-05-22 15:30","2015-05-31 13:59","35","13","Riffle","14","100","","","","","","","","1","","2","","","","","","2","","1","","413"
"Peavy Arboretum","","Wed, 2015-06-10 10:30","2015-06-11 08:18","25","5","Pool","","","","","","","","","6","","","101","","","","","","","1","15","7","661"
"Peavy Arboretum","","Thu, 2015-06-11 08:16","2015-06-11 08:22","30","4","Pool","","","","","","","","","5","","","9","","","","","","","","10","2","661"
"Peavy Arboretum","","Wed, 2015-06-10 09:25","2015-06-11 08:22","15","5","Riffle","","","1","","","","","","","","","1","","","","","","","1","28","","661"
"Peavy Arboretum","","Thu, 2015-06-11 08:16","2015-06-11 08:22","30","3","Riffle","","5","","","","","1","","1","","","1","1","","","","","","","5","","661"
"Peavy Arboretum","","Wed, 2015-06-10 09:25","2015-06-11 08:24","15","5","Riffle","","","1","","","","","","","","","1","","","","","","","1","28","","661"
"Peavy Arboretum","","Wed, 2015-06-10 09:25","2015-06-11 08:25","15","5","Riffle","","","1","","","","","","","","","1","","","","","","","1","28","","661"
"Peavy Arboretum","","Wed, 2015-06-10 10:11","2015-06-11 08:26","7","4","Pool","","","","","","","","","","","1","10","","","","","","","","","6","661"
"Peavy Arboretum","","Thu, 2015-06-11 08:25","2015-06-11 08:26","30","4","Riffle","","","","","","","","","2","","","","","","","","","","","306","","661"
"Peavy Arboretum","","Thu, 2015-06-11 08:26","2015-06-11 08:27","30","3","Pool","","1","","","","","","","1","","1","8","","","","","","","","2","3","661"
"Peavy Arboretum","","Thu, 2015-06-11 08:27","2015-06-11 08:28","25","5","Riffle","","2","11","","","","1","","1","","","2","","","","3","","","","25","","661"
"Peavy Arboretum","","Thu, 2015-06-11 08:30","2015-06-11 08:31","15","5","Pool","","","1","","","","1","","2","","3","8","","","","1","","1","1","17","","661"
