"Nid","Photo Point ID","Date","Image"
"2044","1813","Wed, 2009-11-11","sites/streamwebs.org/files/user/jane23/photopoints/vanilla_leaf-01.jpg"
"2046","2045","Wed, 2009-11-11","sites/streamwebs.org/files/user/jane23/photopoints/stream_violet_170.jpg"
"2048","2047","Sat, 2009-11-14","sites/streamwebs.org/files/user/jane23/photopoints/lewisia_tweedyi-01.jpg"
"2087","2076","Fri, 2009-10-09","sites/streamwebs.org/files/user/beth/photopoints/IMG_6717.JPG"
"2088","2077","Fri, 2009-10-09","sites/streamwebs.org/files/user/beth/photopoints/IMG_6720_0.JPG"
"2089","2078","Fri, 2009-10-09","sites/streamwebs.org/files/user/beth/photopoints/IMG_6721_0.JPG"
"2090","2079","Fri, 2009-10-09","sites/streamwebs.org/files/user/beth/photopoints/IMG_6724_0.JPG"
"2091","2079","Fri, 2009-10-09","sites/streamwebs.org/files/user/beth/photopoints/IMG_6724_1.JPG"
"2092","2080","Fri, 2009-10-09","sites/streamwebs.org/files/user/beth/photopoints/IMG_6725_0.JPG"
"2239","2076","Sat, 2010-01-16","sites/streamwebs.org/files/user/beth/photopoints/cpApp1.jpg"
"2777","2216","Fri, 2010-10-15","sites/streamwebs.org/files/user/jane23/photopoints/charliebullman2_0.jpg"
"2778","2775","Sat, 2010-10-23","sites/streamwebs.org/files/user/jane23/photopoints/img_7c3_1a.jpg"
"2779","2216","Tue, 2010-10-12","sites/streamwebs.org/files/user/jane23/photopoints/mvc-022.jpg"
"2780","2775","Sat, 2010-10-09","sites/streamwebs.org/files/user/jane23/photopoints/cc4f_kerr_pacific.gif"
"2782","2215","Sat, 2010-10-16","sites/streamwebs.org/files/user/jane23/photopoints/cc4f_pge1.gif"
"2800","2799","Mon, 2008-10-20","sites/streamwebs.org/files/images/imnaha_river_lower_end_survey_ds_view_10-20-2008.jpg"
"2804","2799","Thu, 2010-10-07","sites/streamwebs.org/files/images/photo_point_upstream.wet_.imnaha_school.10072010_002.jpg"
"2809","2808","Thu, 2010-10-07","sites/streamwebs.org/files/images/photo_point_bride.wet_.imnaha_school.10072010_004.jpg"
"3155","2215","Wed, 2011-05-04","sites/streamwebs.org/files/images/flowers-0.jpg"
"3176","3175","Wed, 2011-07-13","sites/streamwebs.org/files/images/100_0144.jpg"
"3179","3178","Wed, 2011-07-13","sites/streamwebs.org/files/images/100_0145.jpg"
"3181","3180","Wed, 2011-07-13","sites/streamwebs.org/files/images/100_0147.jpg"
"3192","2045","Sat, 2011-07-23","sites/streamwebs.org/files/images/creek-2.jpg"
