"Title","Nid","Camera Point ID","Date","Compass bearing","Distance (feet)","Distance (inches)","Height (feet)","Height (inches)","Notes"
"Photo point 1521:","1522","2333","Sun, 2013-02-10","50.00","25.00","","5.00","",""
"C","1651","1646","Tue, 2009-06-16","83.00","65.00","","4.00","",""
"E1654","1654","1653","Wed, 2009-08-26","38.00","80.00","","5.00","","start of the heavy lifting work."
"A","1656","2333","Tue, 2009-09-01","55.00","25.00","","5.00","",""
"A","1658","2333","Wed, 2009-09-02","65.00","2.00","","4.00","",""
"A1","1687","1657","Wed, 2010-01-13","210.00","73.00","","5.00","",""
"A2","1688","1657","Wed, 2010-01-13","260.00","77.00","","4.00","",""
"1","1802","1798","Thu, 2009-10-08","66.00","55.00","","8.00","",""
"1","1805","1791","Thu, 2009-10-01","45.00","45.00","","4.00","6.00",""
"A1","1806","1797","Wed, 2009-10-07","33.33","22.00","","5.00","6.00",""
"A2","1807","1797","Fri, 2009-10-02","44.00","77.00","","4.00","6.00",""
"A1","1813","1812","Tue, 2009-10-06","88.00","66.00","","6.00","",""
"A2","1814","1812","Thu, 2009-10-08","22.00","22.00","","2.00","",""
"C1","1817","2333","Wed, 2009-10-21","55.00","12.00","","5.00","",""
"B1","2015","1455","Sat, 2009-11-07","45.50","22.00","","2.00","",""
"B2","2016","1455","Thu, 2009-11-05","66.00","66.00","","5.00","",""
"A3","2045","1812","Thu, 2009-11-12","67.00","34.00","","4.00","",""
"B1","2047","1826","Mon, 2009-11-16","76.00","12.00","","2.00","",""
"D1","2074","1648","Wed, 2009-11-11","45.00","12.00","","2.00","",""
"A1","2076","1786","Fri, 2009-10-09","164.00","5.00","3.60","5.00","",""
"A2","2077","1786","Fri, 2009-10-09","102.00","11.00","3.00","5.00","",""
"A3","2078","1786","Fri, 2009-10-09","6.00","17.00","6.84","5.00","",""
"B1","2079","2057","Fri, 2009-10-09","95.00","7.00","8.64","1.00","2.40",""
"B2","2080","2057","Fri, 2009-10-09","58.00","10.00","1.20","1.00","4.20",""
"B3","2081","2057","Fri, 2009-10-09","357.00","8.00","0.24","1.00","4.44",""
"C1","2084","2064","Fri, 2009-10-09","52.00","5.00","9.00","1.00","1.80",""
"C2","2085","2064","Fri, 2009-10-09","342.00","9.00","11.52","1.00","",""
"D1","2086","2069","Fri, 2009-10-09","141.00","12.00","3.24","","9.00",""
"A3","2183","1657","Wed, 2010-01-13","2.00","76.00","","4.00","",""
"B3","2211","1455","Fri, 2010-02-12","67.00","22.00","","6.00","",""
"A4","2213","1812","Sun, 2010-02-07","269.00","88.00","","5.00","",""
"A5","2214","2333","Sun, 2010-02-07","189.00","45.00","","4.00","6.00",""
"A5","2215","1812","Sun, 2010-02-07","123.00","97.00","","5.00","",""
"A6","2216","1812","Wed, 2010-02-03","111.00","33.00","","3.00","6.00",""
"A1","2708","2699","Tue, 2010-10-05","120.00","30.00","","4.00","","looking downstream towards the bridge. About 30 feet from bridge, next to fallen down log"
"A7","2775","1812","Thu, 2010-10-14","32.00","55.00","","5.00","",""
"A1","2799","2798","Tue, 2008-04-08","260.00","20.00","","6.00","","looking downstream on the lower end of the survey"
"B1","2802","2801","Tue, 2008-04-08","180.00","5.00","","6.00","","looking upstream"
"C1","2808","2807","Thu, 2010-10-07","0.00","100.00","","20.00","",""
"A1","2830","2829","Mon, 2008-10-20","180.00","5.00","","10.00","","lower end looking downstream"
"B1","2834","2833","Mon, 2008-10-20","180.00","10.00","","10.00","","upper end of survey looking downstream"
"A1","3066","2333","Thu, 2010-12-16","180.00","53.00","7.20","4.00","2.40","File Name: DSC_0985.jpg
At the beginning of the Channel on the right side of channel
For the compass bearing: it's magnetic"
"A2","3068","2333","Thu, 2010-12-16","215.00","40.00","3.60","4.00","2.40","File Name: DSC_0986.jpg
compass bearing: magnetic"
"A3","3069","2333","Thu, 2010-12-16","233.00","12.00","","4.00","2.40","File Name: DSC_0989.jpg
Compass bearing: magnetic"
"A4","3070","2333","Thu, 2010-12-16","306.00","6.00","2.40","4.00","2.40","File Name: DSC_0990.jpg
compass bearing: magnetic"
"B1","3073","3072","Thu, 2010-12-16","138.00","24.00","8.40","4.00","8.40","File name: DSC_0995.jpg
Compass bearing: magnetic
-- L-shaped trunk on the riverside"
"B2","3075","3072","Thu, 2010-12-16","61.00","9.00","8.40","4.00","8.40","File name: DSC_0996.jpg
Compass bearing: magnetic
-- sign was to the left in the picture
-- L-shaped tree on riverside
-- the camera point was in the middle of the channel"
"B3","3076","3072","Thu, 2010-12-16","7.00","19.00","3.60","4.00","8.40","File name: DSC_0997.jpg
Compass bearing: magnetic
-- L-shaped tree on the riverside
-- the camera point was in the middle of the channel"
"C1","3078","3077","Thu, 2010-12-16","277.00","23.00","2.40","4.00","2.40","File name: DSC_0998.jpg
Compass bearing: magnetic"
"C2","3079","3077","Thu, 2010-12-16","341.00","32.00","7.20","4.00","2.40","File name: DSC_0998.jpg
Compass bearing: magnetic"
"C3","3080","3077","Thu, 2010-12-16","127.00","22.00","6.00","4.00","2.40","File name: DSC_1002.jpg
Compass bearing: magnetic"
