"nid","site","stream_length","riffle_count","pool_count","collected","silt","sand","gravel","cobble","boulders","bedrock","small_debris","medium_debris","large_debris","comments","coniferous_trees","deciduous_trees","shrubs","small_plants","ferns","grasses","uid"
"42476","Camp Creek","100","19","16","Wed, 2017-09-27 12:30","","","","","","","","","","","Some","Very Little","Some","A Lot","Very Little","Some","109"
"42466","Imnaha River","100","4","46","Wed, 2017-09-27 10:30","","","","","","","","","","","Very Little","Very Little","Some","","","","109"
"41581","West Olalla Creek","100","5","","Tue, 2017-05-09 09:00","Very Little","Very Little","A lot","A lot","Very Little","Some","Some","Very Little","Very Little","","Some","A Lot","Very Little","Some","Some","A Lot","1076"
"40176","LHS River Restoration Association; Had Irvine Park","534","","","Wed, 2017-03-01 13:00","","","","","","","","","","","Very Little","Some","","Some","","Some","611"
"40166","LHS River Restoration Association; Had Irvine Park","534","","","Wed, 2017-03-01 13:45","","","","","","","","","","","","","","","","","611"
"40156","LHS River Restoration Association; Had Irvine Park","534","","","Wed, 2017-03-01 12:30","","","","","","","","","","","","","","","","","611"
"40146","LHS River Restoration Association; Had Irvine Park","534","","","Wed, 2017-03-01 13:37","","","","","","","","","","","Very Little","Some","A Lot","A Lot","Very Little","A Lot","611"
"40136","LHS River Restoration Association; Had Irvine Park","534","","","Wed, 2017-03-01 12:30","","","","","","","","","","","Some","Very Little","A Lot","Some","Very Little","A Lot","611"
"38606","Bear Creek Park","","","","Tue, 2016-11-08 21:30","","","","","","","","","","","","","","","","","1081"
"38601","Bear Creek Park","","","","Tue, 2016-11-08 09:30","","","","","","","","","","","Some","A Lot","A Lot","A Lot","Very Little","A Lot","1081"
"38596","Bear Creek Park","","","","Tue, 2016-11-08 09:35","","","","","","","","","","","Very Little","A Lot","A Lot","A Lot","Very Little","A Lot","1081"
"38591","Bear Creek Park","","","","Tue, 2016-11-08 21:30","","","","","","","","","","","Some","A Lot","A Lot","A Lot","Very Little","A Lot","1081"
"38586","Bear Creek Park","","","","Tue, 2016-11-08 21:30","","","","","","","","","","","Some","A Lot","Very Little","A Lot","Very Little","A Lot","1081"
"38581","Bear Creek Park","","","","Tue, 2016-11-08 21:30","","","","","","","","","","","Some","A Lot","A Lot","A Lot","Very Little","A Lot","1081"
"38576","Bear Creek Park","","","","Tue, 2016-11-08 09:30","","","","","","","","","","","Some","A Lot","Some","A Lot","Very Little","A Lot","1081"
"38571","Bear Creek Park","","","","Tue, 2016-11-08 09:30","","","","","","","","","","","Some","A Lot","A Lot","A Lot","Very Little","A Lot","1081"
"38566","Bear Creek Park","","","","Tue, 2016-11-08 09:29","","","","","","","","","","","","","","","","","1081"
"38561","Bear Creek Park","","","","Tue, 2016-11-08 21:47","","","","","","","","","","","","","","","","","1081"
"38556","Bear Creek Park","","","","Tue, 2016-11-08 09:30","","","","","","","","","","","Very Little","A Lot","A Lot","A Lot","Very Little","A Lot","1081"
"38551","Bear Creek Park","","","","Tue, 2016-11-08 09:30","","","","","","","","","","","Some","A Lot","A Lot","A Lot","Very Little","A Lot","1081"
"38546","Bear Creek Park","","","","Tue, 2016-11-08 09:36","","","","","","","","","","","Very Little","A Lot","A Lot","A Lot","Very Little","A Lot","1081"
"38541","Bear Creek Park","","","","Tue, 2016-11-08 09:30","","","","","","","","","","","Some","A Lot","A Lot","A Lot","Very Little","A Lot","1081"
"38536","Bear Creek Park","","","","Tue, 2016-11-08 09:30","","","","","","","","","","","Some","A Lot","A Lot","A Lot","Very Little","A Lot","1081"
"37111","Enterprise City Park","100","35","","Thu, 2016-10-13 13:00","Very Little","Very Little","A lot","A lot","Some","A lot","Very Little","","Very Little","","Some","Very Little","Very Little","A Lot","Very Little","A Lot","109"
"37106","Enterprise City Park","100","35","","Tue, 2015-10-27 08:35","Some","A lot","Some","Some","Some","","","","","","Very Little","Some","A Lot","Very Little","Very Little","A Lot","109"
"37071","Enterprise Marr Pond Site","100","20","5","Tue, 2015-10-27 10:00","Very Little","Very Little","Some","Some","Very Little","Very Little","Some","Some","Some","","Very Little","A Lot","Some","A Lot","Very Little","A Lot","109"
"36596","Wallowa River Tamkaliks Site","100","27","3","Wed, 2015-10-07 09:46","Some","Some","A lot","A lot","","Very Little","Very Little","A lot","A lot","","","A Lot","Some","Some","Very Little","A Lot","109"
"36541","Wallowa River Tamkaliks Site","100","30","7","Tue, 2016-10-04 08:47","A lot","Some","Very Little","A lot","Some","Very Little","Some","Some","Very Little","","Very Little","A Lot","Very Little","A Lot","Very Little","A Lot","109"
"36236","OC Brown Park - North Fork Deer Creek","142","3","1","Thu, 2016-05-19 14:30","Very Little","Some","A lot","Some","Some","Very Little","Some","Some","Very Little","","Very Little","A Lot","","Some","Very Little","A Lot","1046"
"12306","West Olalla Creek","62","1","1","Thu, 2016-05-19 09:00","A lot","Very Little","Some","Very Little","Very Little","Very Little","Some","Very Little","Very Little","","Some","A Lot","A Lot","A Lot","A Lot","Some","1076"
"12131","West Olalla Creek","51","1","","Thu, 2016-05-12 08:45","Very Little","Some","A lot","Very Little","Very Little","Very Little","Some","Very Little","Very Little","One large trunk, few small branches down in creek.","Very Little","A Lot","Very Little","A Lot","Some","A Lot","1076"
