"Nid","Collected","Stream/Site name","Estimated Slope (rise/run) of streambank","Field Notes","Uid"
"2362","Fri, 2010-06-18 16:10","SE Belmont","","This area is very overgrown with salmon berry","1"
"2365","Thu, 2010-07-22 15:22","SE Belmont","","The forest at this site is the result of neglected and unmanaged natural regrowth from logging, probably sometime in the 1940s or 1950s. Red Alder, Douglas fir and non-native invasive plants are dominant. Doug Fir and Red Cedar are slowly taking over.","1"
"2366","Tue, 2010-07-06 14:15","SE Belmont","6","Trees are all about 20-30 years old","14"
"2467","Sun, 2010-08-29 09:14","SE Belmont","4","pretty nice area, not a lot of damage from farming or invasive species","1"
"2666","Thu, 2010-09-23 11:30","Salmon River #1","20","","90"
"2674","Thu, 2010-09-23 (All day)","Salmon River #1","","","99"
"3018","Wed, 2010-11-10 12:08","Cedar Creek","","Only 2 of the four groups did this. We averaged the two groups together.","57"
"3094","Thu, 2011-01-20 11:20","Salmon River Side Channel 2","","","157"
"3154","Tue, 2011-05-31 09:15","Clear Creek","0.4","This is a revision of the Riparian Transect table.","4"
"3157","Wed, 2011-06-08 23:35","SE Belmont","11","these are field notes","14"
"4489","Wed, 2012-10-24 09:00","Enterprise City Park","","","109"
"4490","Wed, 2012-10-24 10:37","Enterprise Marr Pond Site","","","109"
"4586","Thu, 2012-11-01 09:00","Wallowa River Tamkaliks Site","","The farther you get away from the river the less plants there are.","109"
"4592","Tue, 2012-10-30 10:50","Bear Creek","","","109"
"4593","Thu, 2012-11-01 10:12","Bear Creek","","There are lots of potentilla when you get farther out. I also gets drier and there is less vegetation when you get farther out.","109"
"4626","Mon, 2012-11-05 10:15","Joseph City Park","","","109"
"4629","Wed, 2012-11-07 10:28","Joseph City Park","","shrubs grow closer to the water than on dry land","109"
"4634","Mon, 2012-11-05 11:23","Joseph Prairie Creek","","","109"
"4959","Thu, 2013-06-27 09:00","Bear Creek at Coyote Trails Nature Center","3","","288"
