"nid","species"
"42476",""
"42476",""
"42476",""
"42476",""
"42476",""
"42476",""
"42466",""
"42466",""
"42466",""
"42466",""
"42466",""
"42466",""
"41581","Skunk cabbage"
"41581","Himilayan blackberry"
"41581","White alder"
"41581","Sword ferns"
"41581","Clover"
"41581","Devil's club"
"40176","Ivy"
"40176","blackberry"
"40176","Conifers"
"40176","Deciduous"
"40176","Yellow flag iris"
"40176",""
"40166","Yellowflag Iris"
"40166","Deciduous Trees"
"40166",""
"40166",""
"40166",""
"40166",""
"40156","deciduous trees"
"40156","Ivy"
"40156","Blackberry"
"40156","Grass"
"40156","moss"
"40156",""
"40146","Sword fern"
"40146","Yellow Flag Iris"
"40146","Sedges"
"40146",""
"40146",""
"40146",""
"40136","Holly"
"40136","Blackberry"
"40136","Yellow Flag Iris"
"40136",""
"40136",""
"40136",""
"38606","Black oak"
"38606","Mansnia"
"38606","increase Cedar"
"38606","Blackberry"
"38606","califorin wild Grap"
"38606",""
"38601","Black Oak"
"38601","Manzanita"
"38601","Incense Cedar"
"38601","Black Berry"
"38601","California Wild Grape"
"38601","Ponderosa Pine"
"38596","Black oak"
"38596","Manzanita"
"38596","Incense cedar"
"38596","Blackberries"
"38596","California Wild grape"
"38596","ponderosa pine"
"38591","black oak"
"38591","mansanita"
"38591","insense cedar"
"38591","blackberry"
"38591","california wild grape"
"38591","ponderosa pine"
"38586","black oak"
"38586","manzanita"
"38586","incense cedar"
"38586","blackberry bush"
"38586","californa wild grape"
"38586","ponderosa"
"38581","Black Oak"
"38581","Manzanita"
"38581","Incense Cedar"
"38581","Blackberry"
"38581","California Wild Grape"
"38581","Ponderosa Pine"
"38576","Black Oak"
"38576","Manzanita"
"38576","Incense Cedar"
"38576","Blackberry"
"38576","California Wild Grape"
"38576","Ponderosa Pine"
"38571","Black oak"
"38571","Manzanita"
"38571","Incense Ceder"
"38571","Black Berry"
"38571","Cailfonia Wild Grape"
"38571","Pandarosa Pine"
"38566","Black Oak"
"38566","Manzanita"
"38566","Incense Cedar"
"38566","Black Berries"
"38566","California Wild Grape"
"38566","Ponderosa Pine"
"38561","black oak"
"38561","manzanita"
"38561","incense cader"
"38561","blackberry"
"38561","cafenta"
"38561","oregon white oak"
"38556","black oak"
"38556","manzanita"
"38556","incense cedar"
"38556","black berries"
"38556","california wild grape"
"38556","ponderosa pine"
"38551","Black Oak"
"38551","Manzanita"
"38551","incense cedder"
"38551","Blackberry"
"38551","Californa Wild Grape"
"38551","oredon white ash"
"38546","Black oak"
"38546","Manzanita"
"38546","Incence cedar"
"38546","Blackberry"
"38546","California wild grape"
"38546","Ponderosa pine"
"38541","Black Oak"
"38541","Manzanita"
"38541","Incense Cedar"
"38541","Blackberry"
"38541","California Wild Grape"
"38541","Ponderosa Pine"
"38536","Black Oak"
"38536","Manzanita"
"38536","Incense Ceadar"
"38536","Black Berry"
"38536","California Wild Grape"
"38536","Ponderosa Pine"
"37111",""
"37111",""
"37111",""
"37111",""
"37111",""
"37111",""
"37106","cottonwood"
"37106","willow"
"37106","canary grass"
"37106",""
"37106",""
"37106",""
"37071",""
"37071",""
"37071",""
"37071",""
"37071",""
"37071",""
"36596",""
"36596",""
"36596",""
"36596",""
"36596",""
"36596",""
"36541","cottonwood"
"36541","willow"
"36541","alder"
"36541",""
"36541",""
"36541",""
"36236",""
"36236",""
"36236",""
"36236",""
"36236",""
"36236",""
"12306","Spruce"
"12306","Sword Ferns"
"12306","Skunk Cabbage"
"12306","Berry"
"12306","White Alder"
"12306",""
"12131","Douglas Fir"
"12131","Himalayan blackberry"
"12131","Sword ferns"
"12131","Western anemone"
"12131","Spruce"
"12131","Skunk cabbage"
"9606","Camary Reed Grass"
"9606","Willow"
"9606","Elm"
"9606","Cat Tail"
"9606",""
"9606",""
"8711","sword fern"
"8711","vine maple"
"8711","bracken fern"
"8711","alder"
"8711","big leaf maple"
"8711",""
"8706","Vine maple"
"8706","Sword ferns"
"8706","Moss"
"8706","Alder"
"8706","Big leaf maple."
"8706",""
"8676","Blackberry"
"8676","Nettle"
"8676","Sword Fern"
"8676","Snowberry"
"8676","Braken Fern"
"8676","Vine Maple"
"8441","grasses"
"8441","maple"
