"nid","wildlife_comments"
"42476",""
"42476",""
"42476",""
"42476",""
"42476",""
"42476",""
"42466",""
"42466",""
"42466",""
"42466",""
"42466",""
"42466",""
"41581",""
"41581",""
"41581",""
"41581",""
"41581",""
"41581",""
"40176",""
"40176",""
"40176",""
"40176",""
"40176",""
"40176",""
"40166",""
"40166",""
"40166",""
"40166",""
"40166",""
"40166",""
"40156",""
"40156",""
"40156",""
"40156",""
"40156",""
"40156",""
"40146",""
"40146",""
"40146",""
"40146",""
"40146",""
"40146",""
"40136","Grey"
"40136",""
"40136",""
"40136",""
"40136",""
"40136",""
"38606",""
"38606",""
"38606",""
"38606",""
"38606",""
"38606",""
"38601",""
"38601",""
"38601",""
"38601",""
"38601",""
"38601",""
"38596",""
"38596",""
"38596",""
"38596",""
"38596",""
"38596",""
"38591",""
"38591",""
"38591",""
"38591",""
"38591",""
"38591",""
"38586",""
"38586",""
"38586",""
"38586",""
"38586",""
"38586",""
"38581",""
"38581",""
"38581",""
"38581",""
"38581",""
"38581",""
"38576",""
"38576",""
"38576",""
"38576",""
"38576",""
"38576",""
"38571",""
"38571",""
"38571",""
"38571",""
"38571",""
"38571",""
"38566",""
"38566",""
"38566",""
"38566",""
"38566",""
"38566",""
"38561",""
"38561",""
"38561",""
"38561",""
"38561",""
"38561",""
"38556",""
"38556",""
"38556",""
"38556",""
"38556",""
"38556",""
"38551",""
"38551",""
"38551",""
"38551",""
"38551",""
"38551",""
"38546",""
"38546",""
"38546",""
"38546",""
"38546",""
"38546",""
"38541",""
"38541",""
"38541",""
"38541",""
"38541",""
"38541",""
"38536",""
"38536",""
"38536",""
"38536",""
"38536",""
"38536",""
"37111",""
"37111",""
"37111",""
"37111",""
"37111",""
"37111",""
"37106",""
"37106",""
"37106",""
"37106",""
"37106",""
"37106",""
"37071",""
"37071",""
"37071",""
"37071",""
"37071",""
"37071",""
"36596",""
"36596",""
"36596",""
"36596",""
"36596",""
"36596",""
"36541",""
"36541",""
"36541",""
"36541",""
"36541",""
"36541",""
"36236",""
"36236",""
"36236",""
"36236",""
"36236",""
"36236",""
"12306",""
"12306",""
"12306",""
"12306",""
"12306",""
"12306",""
"12131","1"
"12131",""
"12131",""
"12131",""
"12131",""
"12131",""
"9606","2"
"9606","20"
"9606","10"
"9606","7"
"9606","6"
"9606","2"
"8711",""
"8711",""
"8711",""
"8711",""
"8711",""
"8711",""
"8706",""
"8706",""
"8706",""
"8706",""
"8706",""
"8706",""
"8676","Some unidentified"
"8676",""
"8676",""
"8676",""
"8676",""
"8676",""
"8441",""
"8441",""
"8441",""
"8441",""
"8441",""
"8441",""
"8406",""
"8406",""
"8406",""
"8406",""
"8406",""
"8406",""
"8401",""
"8401",""
"8401",""
"8401",""
"8401",""
"8401",""
"6679","flock of 65"
"6679",""
"6679",""
"6679",""
"6679",""
"6679",""
"6555",""
"6555",""
"6555",""
"6555",""
"6555",""
"6555",""
"6226",""
"6226",""
"6226",""
"6226",""
"6226",""
"6226",""
"5963",""
"5963",""
"5963",""
"5963",""
"5963",""
"5963",""
"5960","2-5"
"5960",""
"5960",""
"5960",""
"5960",""
"5960",""
"5957",""
"5957",""
"5957",""
"5957",""
"5957",""
"5957",""
"5954",""
"5954",""
"5954",""
"5954",""
"5954",""
"5954",""
"5950",""
"5950",""
"5950",""
"5950",""
"5950",""
"5950",""
"5947",""
"5947",""
"5947",""
"5947",""
"5947",""
"5947",""
"5595","about 5 deer"
"5595",""
"5595",""
"5595",""
"5595",""
"5595",""
"5572","yay!"
"5572",""
"5572",""
"5572",""
"5572",""
"5572",""
"5361","1, may have home on property"
"5361","very many"
"5361","2 sighted"
"5361","many"
"5361",""
"5361",""
"5027","scat"
"5027","heard them"
"5027","saw holes in groung"
"5027",""
"5027",""
"5027",""
"5024","several around the area"
"5024",""
"5024",""
"5024",""
"5024",""
"5024",""
"4443",""
"4443",""
"4443",""
"4443",""
"4443",""
"4443",""
"3955","1"
"3955",""
"3955",""
"3955",""
"3955",""
"3955",""
"3751",""
"3751",""
"3751",""
"3751",""
"3751",""
"3751",""
"3749",""
"3749",""
"3749",""
"3749",""
"3749",""
"3749",""
"3747",""
"3747",""
"3747",""
"3747",""
"3747",""
"3747",""
"3745",""
"3745",""
"3745",""
"3745",""
"3745",""
"3745",""
"3743",""
"3743",""
"3743",""
"3743",""
"3743",""
"3743",""
"3741",""
"3741",""
"3741",""
"3741",""
"3741",""
"3741",""
"3244",""
"3244",""
"3244",""
"3244",""
"3244",""
"3244",""
"2817","1 and was not active"
"2817",""
"2817",""
"2817",""
"2817",""
"2817",""
"2792","saw 2 fly by"
"2792",""
"2792",""
"2792",""
"2792",""
"2792",""
"2692","one"
"2692",""
"2692",""
"2692",""
"2692",""
"2692",""
"2689","1 pile"
"2689","heard it singing"
"2689",""
"2689",""
"2689",""
"2689",""
"2487",""
"2487",""
"2487",""
"2487",""
"2487",""
"2487",""
"2483",""
"2483",""
"2483",""
"2483",""
"2483",""
"2483",""
"2482","5"
"2482",""
"2482",""
"2482",""
"2482",""
"2482",""
"2480","2"
"2480","2"
"2480","10"
"2480","5"
"2480","30"
"2480","1"
"2479",""
"2479",""
"2479",""
"2479",""
"2479",""
"2479",""
"2477","6"
"2477",""
"2477",""
"2477",""
"2477",""
"2477",""
