"School name","School type","Post date","Updated date","Blank","Street","City","Province","Postal Code","Country"
"A C Houghton Elementary School","Elementary","2009-02-03 14:16","2009-02-03 14:16","","1105 N Main Ave","Irrigon","Oregon","97844-7050","United States"
"Abernethy Elementary School","Elementary","2009-02-03 14:16","2009-02-03 14:16","","2421 Se Orange Ave","Portland","Oregon","97214-5398","United States"
"Abraham Lincoln Elementary","Elementary","2009-02-03 14:16","2009-02-03 14:16","","3101 Mcloughlin Dr","Medford","Oregon","97504-9237","United States"
"Academy For Character Education","ElementaryMiddle schoolHigh school","2009-02-03 14:16","2009-02-03 14:16","","Po Box 1652","Cottage Grove","Oregon","97424","United States"
"Academy Of Arts And Academics","High school","2009-02-03 14:25","2009-02-03 14:25","","615 Main St","Springfield","Oregon","97477-4764","United States"
"Academy Of International Studies (at Woodburn)","High school","2009-02-03 14:25","2009-02-03 14:25","","","","Oregon","","United States"
"Ace Academy","High school","2009-02-03 14:25","2009-02-03 14:25","","","","Oregon","","United States"
"Ackerman Middle School","Middle school","2009-02-03 14:23","2009-02-03 14:23","","350 Se 13th Ave","Canby","Oregon","97013-9701","United States"
"Adams Elementary School","Elementary","2009-02-03 14:16","2009-02-03 14:16","","950 W 22nd Ave","Eugene","Oregon","97405-2199","United States"
"Adams Elementary School","Elementary","2009-02-03 14:16","2009-02-03 14:16","","1615 Sw 35th St","Corvallis","Oregon","97333-1197","United States"
"Adel Elementary School","Elementary","2009-02-03 14:16","2009-02-03 14:16","","Po Box 117","Adel","Oregon","97620-0117","United States"
"Adrian Elementary School","Elementary","2009-02-03 14:16","2009-02-03 14:16","","Po Box 108","Adrian","Oregon","97901-0108","United States"
"Adrian High School","High school","2009-02-03 14:25","2009-02-03 14:25","","Po Box 108","Adrian","Oregon","97901-0108","United States"
"Agnes Stewart Middle School","Middle school","2009-02-03 14:23","2009-02-03 14:23","","900 S 32nd St","Springfield","Oregon","97478-4607","United States"
"Agness Elementary School","Elementary","2009-02-03 14:16","2009-02-03 14:16","","Po Box 32","Agness","Oregon","97406-0032","United States"
"Aiken Elementary School","Elementary","2009-02-03 14:16","2009-02-03 14:16","","1297 W Idaho Ave","Ontario","Oregon","97914-4534","United States"
"Ainsworth Elementary School","Elementary","2009-02-03 14:16","2009-02-03 14:16","","2425 Sw Vista Ave","Portland","Oregon","97201-2399","United States"
"Al Kennedy Alternative High School","High school","2009-02-03 14:25","2009-02-03 14:25","","Po Box 218","Cottage Grove","Oregon","97424-0218","United States"
"Alameda Elementary School","Elementary","2009-02-03 14:16","2009-02-03 14:16","","2732 Ne Fremont St","Portland","Oregon","97212-2542","United States"
"Alameda Elementary School","Elementary","2009-02-03 14:16","2009-02-03 14:16","","1252 Alameda Dr","Ontario","Oregon","97914-3243","United States"
"Albany Options School","ElementaryMiddle schoolHigh school","2009-02-03 14:16","2009-02-03 14:16","","","","Oregon","","United States"
"Alberta Rider Elementary School","Elementary","2009-02-03 14:16","2009-02-03 14:16","","14850 Sw 132nd Ter","Tigard","Oregon","97224-6118","United States"
