"Stream/Site name","School","Collected","Post date","Time spent sorting/identifying","# of people sorting/identifying","Water type","caddisfly","mayfly","riffle beetle","stonefly","water penny","dobsonfly","clam / mussel","crane fly","crayfish","damselfly","dragonfly","scud","fishfly","alderfly","mite","aquatic worm","blackfly","leech","midge","snail","mosquito larva"
"Hesthavn Nature Center","","Thu, 2014-08-21 12:00","2014-08-22 09:19","35","5","Pool","","7","","3","","","","4","","","","","","","","","","","","7",""
"Hesthavn Nature Center","","Thu, 2014-08-21 10:00","2014-08-22 09:20","30","9","Pool","2","7","","4","","","","1","","","","","","","","1","","","1","35",""
"Hesthavn Nature Center","","Thu, 2014-08-21 10:15","2014-08-22 09:21","30","5","Pool","2","15","","10","","","","2","2","","","","","1","","2","","","","10",""
"Willamette river Corvallis or","","Fri, 2014-08-22 13:45","2014-08-22 13:51","30min","7","Riffle","40","20","5","","","","3","","","","","20","","","","5","","","","34",""
"Willamette River At Crystal Lake","","Wed, 2014-08-20 23:24","2014-08-22 14:29","30","8","Pool","","","2","2","","1","","4","","7","3","9","1","1","5","","","","13","36","1"
"Cascadia","","Tue, 2014-09-16 11:00","2014-10-06 13:40","30","7","Riffle","","2","","3","","","","","","","","","","","","","","","","",""
"Cascadia","","Tue, 2014-09-16 11:00","2014-10-06 13:41","30","2","Riffle","","1","","1","","","","","","","","","","","","5","","","","1",""
"Cascadia","","Tue, 2014-09-16 11:00","2014-10-06 13:43","30","2","Riffle","6","2","","2","","","","","","","","","","","","","","","","3",""
"Cascadia","","Tue, 2014-09-16 11:00","2014-10-06 13:47","30","2","Riffle","","1","","1","","","","","1","","","","","","","","","","","1",""
"Cascadia","","Wed, 2014-09-17 11:00","2014-10-06 13:48","30","2","Riffle","","1","","","","","","","","","","","","","","1","","","","1","1"
"Cascadia","","Wed, 2014-09-17 11:00","2014-10-06 13:49","30","2","Pool","1","1","","1","","","","","","","","","","","","1","1","","1","1",""
"Cascadia","","Wed, 2014-09-17 11:00","2014-10-06 13:50","30","2","Pool","1","1","1","1","","","","","1","","","","","","","","1","","","1",""
"Cascadia","","Tue, 2014-09-16 13:10","2014-10-06 13:51","30","14","Riffle","5","7","","12","","","","2","1","","","","","","","","","","","1","2"
"Cascadia","","Wed, 2014-09-17 12:30","2014-10-06 13:51","30","5","Riffle","4","6","1","3","","","","1","2","","1","","","","","5","3","","","4","7"
"Cascadia","","Tue, 2014-09-16 11:40","2014-10-06 13:52","30","5","Pool","","","1","","","","","","","","","","","","","","","","","2",""
"Cascadia","","Tue, 2014-09-16 10:30","2014-10-06 13:53","30","5","Riffle","","3","","","","","","","","","","","","","","","","","","1",""
"Cascadia","","Mon, 2014-09-22 13:54","2014-10-06 13:54","30","5","Riffle","","2","","3","","","","","1","","","","","","","2","3","","","",""
"Cascadia","","Tue, 2014-09-23 11:00","2014-10-06 13:56","30","5","Riffle","2","3","","7","","","","1","1","","4","","1","","","","1","","","",""
"Cascadia","","Tue, 2014-09-23 11:30","2014-10-06 13:56","30","5","Riffle","","3","","7","","","","","1","","3","","","","","","","","","",""

