"Nid","Conifers 1","Hardwoods 1","Shrubs 1","Comments 1","Conifers 2","Hardwoods 2","Shrubs 2","Comments 2","Conifers 3","Hardwoods 3","Shrubs 3","Comments 3","Conifers 4","Hardwoods 4","Shrubs 4","Comments 4","Conifers 5","Hardwoods 5","Shrubs 5","Comments 5"
"2362","2","14","18","","7","1","4","","2","8","11","","7","3","9","","5","9","12",""
"2365","3","6","11","Very over grown near the water, lots of shrubs","4","2","9","1 more conifer and less shrubs, forest floor starting to clear out","7","3","7","Getting more conifer forest like, more ferns and small shrubs, less hardwoods.","2","6","12","A bit of a clearing in this zone, less trees overall","11","5","7","Deep dark conifer forest. Higher canopy"
"2366","","12","22","zone 1 comments","2","10","15","zone 2 comments","3","11","23","zone3 comments","7","8","6","zone 4 comments","5","11","11","zone 5 comments"
"2467","1","3","9","nice bank, not much erosion","2","3","11","","4","5","6","","6","3","12","","7","3","8",""
"2666","3","","","","","","4","","","4","","","3","4","","","3","3","2",""
"2674","","","2","trailing blackberry","","","2","trailing blackberry","3","","1","Indian Plum, Western Red Cedar, Salmon Berry","2","","","Western Red Cedar","2","","4","Western Red Cedar, Salmon Berry, Wood Sorrel, Indian Plum, Sword Fern, Lady Fern"
"3018","","6","27","","","","","","","","","","","","","","","","",""
"3094","","1","3","deciduous sapling(alder?), unknown shrub, numerous ferns(see photo)","1","","1","conifer(dead)=20 feet tall, ground covered with ferns, very sparse saplings(see photo)","","","","on a mound of sword ferns, no direct contact with shrubs or trees, many ferns, large trees in vicinity but not in radius, sapling not old enough to be called shrubs","","1","1","15 feet from main channel bank, alder tree, one hardwood shrub","","","",""
"3154","","8","15","There are no conifers here.","4","7","14","","5","12","6","","10","4","5","","15","2","2",""
"3157","1","2","11","scrubby steep bank, lots of bushes","3","1","5","Under brush clearing out","5","6","5","More trees","11","8","5","Canopy getting denser","22","11","3","Deep dark forest"
"4489","","","","","","","","","","","","","","","","","","","",""
"4490","","","27","","","","3","","","","2","","","","2","","","","",""
"4586","","","2","snowberries","","","","lots of grass","","","","","","","","","","","",""
"4592","","","25","21 SNOWBERRY;4 ROSES","","2","191","2 WILLOW;161 SNOWBERRY;30 ROCKY MOUNTAIN MAPLE","1","","278","1 GRAND FIR; 9 ROSES;268 SNOWBERRY;1 ELDERBERRY","","","159","156 SNOWBERRY; 3 ROSES","","","212","2 ROSES;210 SNOWBERRY"
"4593","","10","5","7 MAPLE;3 SYRINGA; 4 SNOWBERRY;1 ROSE","","3","19","3 MAPLE; 5 ROSES; 14 SNOWBERRIES","","","52","23 ROSES; 29 SNOWBERRIES","","","6","6 ROSES","","","",""
"4626","","","77","2 rose; 75 snowberries","","","","","","","","","","","","","","","",""
"4629","","","156","156 snowberries","","","","","","","","","","","","","","","",""
"4634","","","","","","","","","","","","","","","","","","","",""
"4959","","","","","","","","","","","","","","","","","","","",""
"4960","","2","","Veg cover 50-75%; weed cover 0-25 %, weeds: COMA2","","2","","Veg cover 50-75%; weed cover 25-50 %, weeds: COMA2","","1","","Veg cover 50-75%; weed cover 0-25 %, weeds: COMA2","","","","Veg cover 0-25%; weed cover 0 %, weeds: none","","1","","Veg cover 75-100%; weed cover 0-25 %, weeds: COMA2"
"5056","","","","","","","","","","","","","","","","","","","",""
"5061","","","","","","","","","","","","","","","","","","","",""
"5321","","4","","","","","6","","","","","","","","","","","","",""
"5324","","6","","","","","11","","","","9","","","","1","","","","1",""
"5326","1","","28","","1","","55","","","","54","","","","","","","","",""
"5328","2","","40","","1","","55","","","","107","","","","34","","","","",""
"5473","","4","10","did not count the blackberry covering most of the area","1","4","10","did not count the blackberry covering most of the area","","","","","","","","","","","",""
"5474","","4","5","did not count blackberry that covered 90% of slope","","","","","","","","","","","","","","","",""
"5574","75","100","1000","test","50","3","100","test","","","","","","","","","","","",""
"5596","32","5","7","test","10","15","50","test","","","","","","","","","","","",""
"5609","","3","6","lots of sticks, birds, english ivy","","2","3","blackberries, fallen trees/branches","","","","entering pasture/grass area","","","","pasture","","","","pasture"
"5615","","3","3","blackberry, english ivy","","2","3","live fallen tree, blackberry, english ivy","","","","entering pasture","","","","pasture","","","","pasture"
"5626","","3","2","blackberry present","","1","3","blackberry","","","","pasture grass","","","","pasture grass","","","","pasture grass"
"5632","","3","3","blackberry, ivy","","2","2","blackberry","","","","pasture grass","","","","pasture grass","","","","pasture grass"
"6046","","2","8","3 clovers, 2blackbarries","","","2","other","","","7","7 patches of clover","","","7","4 horsetail, 2 stigingnettle","","2","11","2 ferns, 4 horse tail, 1 plant"
"6098","","","","","","1","15","","","","13","","","","17","","","","",""
"6100","","6","46","","","","","","","","","","","","","","","","",""
"6101","","","7","","","","17","","","1","21","","","","","","","","",""
"6207","","","","all grass","","1","","grass","","","1","grass","","","51","blackberries","","","",""
"6208","","11","","grass, 2 baby apple trees","","11","","grass, 2 willows, 6 other grasses, thistle","","","","grass, thistle","","","","","","","",""
"6209","","","","grass","","2","","grass, 1 star thistle","","","","grass","","","","","","","",""
"6507","","","47","Large hardwoods nearby. Grass on the ground, Blackberry bushes In circle and nearby","","","","Large hardwood nearby, cement block in circle.","","","","","","","","","","","",""
"6508","","","","","","","","","","","","","","","","","","","",""
