"Fecal Coliform (CFU/100mL)","Type","Nid","Fecal Coliform (CFU/100mL) (field_fecal_coliform) - delta"
"","Data: Water Quality","1629",""
"","Data: Water Quality","1629","1"
"","Data: Water Quality","1629","2"
"","Data: Water Quality","1629","3"
"","Data: Water Quality","1630",""
"","Data: Water Quality","1630","1"
"","Data: Water Quality","1630","2"
"","Data: Water Quality","1630","3"
"","Data: Water Quality","1637",""
"","Data: Water Quality","1637","1"
"","Data: Water Quality","1637","2"
"","Data: Water Quality","1637","3"
"","Data: Water Quality","1690",""
"","Data: Water Quality","1690","1"
"","Data: Water Quality","1690","2"
"","Data: Water Quality","1690","3"
"","Data: Water Quality","1928",""
"","Data: Water Quality","1928","1"
"","Data: Water Quality","1928","2"
"","Data: Water Quality","1928","3"
"","Data: Water Quality","1994",""
"","Data: Water Quality","1994","1"
"","Data: Water Quality","1994","2"
"","Data: Water Quality","1994","3"
"","Data: Water Quality","1997",""
"","Data: Water Quality","1997","1"
"","Data: Water Quality","1997","2"
"","Data: Water Quality","1997","3"
"","Data: Water Quality","2236",""
"","Data: Water Quality","2236","1"
"","Data: Water Quality","2236","2"
"","Data: Water Quality","2236","3"
"2","Data: Water Quality","2237",""
"5","Data: Water Quality","2237","1"
"3","Data: Water Quality","2237","2"
"6","Data: Water Quality","2237","3"
"","Data: Water Quality","2303",""
"","Data: Water Quality","2310",""
"","Data: Water Quality","2310","1"
"","Data: Water Quality","2310","2"
"","Data: Water Quality","2310","3"
"","Data: Water Quality","2311",""
"","Data: Water Quality","2340",""
"","Data: Water Quality","2340","1"
"","Data: Water Quality","2340","2"
"","Data: Water Quality","2340","3"
"3","Data: Water Quality","2367",""
"2","Data: Water Quality","2367","1"
"6","Data: Water Quality","2367","2"
"8","Data: Water Quality","2367","3"
"7","Data: Water Quality","2373",""
"11","Data: Water Quality","2373","1"
"10","Data: Water Quality","2373","2"
"4","Data: Water Quality","2373","3"
"777","Data: Water Quality","2375",""
"444","Data: Water Quality","2375","1"
"222","Data: Water Quality","2375","2"
"888","Data: Water Quality","2375","3"
"","Data: Water Quality","2376",""
"","Data: Water Quality","2376","1"
"","Data: Water Quality","2376","2"
"","Data: Water Quality","2376","3"
"4","Data: Water Quality","2381",""
"9","Data: Water Quality","2381","1"
"6","Data: Water Quality","2381","2"
"2","Data: Water Quality","2381","3"
"","Data: Water Quality","2408",""
"","Data: Water Quality","2408","1"
"","Data: Water Quality","2408","2"
"","Data: Water Quality","2408","3"
"","Data: Water Quality","2432",""
"","Data: Water Quality","2432","1"
"","Data: Water Quality","2432","2"
"","Data: Water Quality","2432","3"
"","Data: Water Quality","2435",""
"","Data: Water Quality","2435","1"
"","Data: Water Quality","2435","2"
"","Data: Water Quality","2435","3"
"","Data: Water Quality","2454",""
"","Data: Water Quality","2454","1"
"","Data: Water Quality","2454","2"
"","Data: Water Quality","2454","3"
"","Data: Water Quality","2458",""
"","Data: Water Quality","2458","1"
"","Data: Water Quality","2458","2"
"","Data: Water Quality","2458","3"
"","Data: Water Quality","2591",""
"","Data: Water Quality","2591","1"
"","Data: Water Quality","2591","2"
"","Data: Water Quality","2591","3"
"","Data: Water Quality","2597",""
"","Data: Water Quality","2597","1"
"","Data: Water Quality","2597","2"
"","Data: Water Quality","2597","3"
"","Data: Water Quality","2655",""
"","Data: Water Quality","2655","1"
"","Data: Water Quality","2655","2"
"","Data: Water Quality","2655","3"
"","Data: Water Quality","2656",""
"","Data: Water Quality","2656","1"
"","Data: Water Quality","2656","2"
"","Data: Water Quality","2656","3"
"","Data: Water Quality","2657",""
"","Data: Water Quality","2657","1"
"","Data: Water Quality","2657","2"
"","Data: Water Quality","2657","3"
"","Data: Water Quality","2658",""
"","Data: Water Quality","2658","1"
"","Data: Water Quality","2658","2"
"","Data: Water Quality","2658","3"
"","Data: Water Quality","2659",""
"","Data: Water Quality","2659","1"
"","Data: Water Quality","2659","2"
"","Data: Water Quality","2659","3"
"","Data: Water Quality","2664",""
"","Data: Water Quality","2664","1"
"","Data: Water Quality","2664","2"
"","Data: Water Quality","2664","3"
"","Data: Water Quality","2671",""
"","Data: Water Quality","2671","1"
"","Data: Water Quality","2671","2"
"","Data: Water Quality","2671","3"
"","Data: Water Quality","2672",""
"","Data: Water Quality","2672","1"
"","Data: Water Quality","2672","2"
"","Data: Water Quality","2672","3"
"","Data: Water Quality","2682",""
"","Data: Water Quality","2682","1"
"","Data: Water Quality","2682","2"
"","Data: Water Quality","2682","3"
"","Data: Water Quality","2688",""
"","Data: Water Quality","2688","1"
"","Data: Water Quality","2688","2"
"","Data: Water Quality","2688","3"
"","Data: Water Quality","2693",""
"","Data: Water Quality","2693","1"
"","Data: Water Quality","2693","2"
"","Data: Water Quality","2693","3"
"","Data: Water Quality","2717",""
"","Data: Water Quality","2717","1"
"","Data: Water Quality","2717","2"
"","Data: Water Quality","2717","3"
"","Data: Water Quality","2724",""
"","Data: Water Quality","2724","1"
"","Data: Water Quality","2724","2"
"","Data: Water Quality","2724","3"
"","Data: Water Quality","2730",""
"","Data: Water Quality","2730","1"
"","Data: Water Quality","2730","2"
"","Data: Water Quality","2730","3"
"","Data: Water Quality","2731",""
"","Data: Water Quality","2731","1"
"","Data: Water Quality","2731","2"
"","Data: Water Quality","2731","3"
"","Data: Water Quality","2735",""
"","Data: Water Quality","2735","1"
"","Data: Water Quality","2735","2"
"","Data: Water Quality","2735","3"
"","Data: Water Quality","2737",""
"","Data: Water Quality","2737","1"
"","Data: Water Quality","2737","2"
"","Data: Water Quality","2737","3"
"","Data: Water Quality","2742",""
"","Data: Water Quality","2742","1"
"","Data: Water Quality","2742","2"
"","Data: Water Quality","2742","3"
"","Data: Water Quality","2748",""
"","Data: Water Quality","2748","1"
"","Data: Water Quality","2748","2"
"","Data: Water Quality","2748","3"
"","Data: Water Quality","2749",""
"","Data: Water Quality","2749","1"
"","Data: Water Quality","2749","2"
"","Data: Water Quality","2749","3"
"","Data: Water Quality","2750",""
"","Data: Water Quality","2750","1"
"","Data: Water Quality","2750","2"
"","Data: Water Quality","2750","3"
"","Data: Water Quality","2751",""
"","Data: Water Quality","2751","1"
"","Data: Water Quality","2751","2"
"","Data: Water Quality","2751","3"
"","Data: Water Quality","2757",""
"","Data: Water Quality","2757","1"
"","Data: Water Quality","2757","2"
"","Data: Water Quality","2757","3"
"","Data: Water Quality","2758",""
"","Data: Water Quality","2758","1"
"","Data: Water Quality","2758","2"
"","Data: Water Quality","2758","3"
"","Data: Water Quality","2759",""
"","Data: Water Quality","2759","1"
"","Data: Water Quality","2759","2"
"","Data: Water Quality","2759","3"
"","Data: Water Quality","2760",""
"","Data: Water Quality","2760","1"
"","Data: Water Quality","2760","2"
"","Data: Water Quality","2760","3"
"","Data: Water Quality","2761",""
"","Data: Water Quality","2761","1"
"","Data: Water Quality","2761","2"
"","Data: Water Quality","2761","3"
"","Data: Water Quality","2769",""
"","Data: Water Quality","2769","1"
"","Data: Water Quality","2769","2"
"","Data: Water Quality","2769","3"
"","Data: Water Quality","2770",""
"","Data: Water Quality","2770","1"
"","Data: Water Quality","2770","2"
"","Data: Water Quality","2770","3"
"","Data: Water Quality","2771",""
"","Data: Water Quality","2771","1"
"","Data: Water Quality","2771","2"
"","Data: Water Quality","2771","3"
"","Data: Water Quality","2783",""
"","Data: Water Quality","2783","1"
