"Turbidity (NTU)","Type","Nid","Delta"
"16.9","Data: Water Quality","1629",""
"","Data: Water Quality","1629","1"
"","Data: Water Quality","1629","2"
"","Data: Water Quality","1629","3"
"10.85","Data: Water Quality","1630",""
"","Data: Water Quality","1630","1"
"","Data: Water Quality","1630","2"
"","Data: Water Quality","1630","3"
"16.9","Data: Water Quality","1637",""
"","Data: Water Quality","1637","1"
"","Data: Water Quality","1637","2"
"","Data: Water Quality","1637","3"
"22","Data: Water Quality","1690",""
"34","Data: Water Quality","1690","1"
"23","Data: Water Quality","1690","2"
"25","Data: Water Quality","1690","3"
"","Data: Water Quality","1928",""
"","Data: Water Quality","1928","1"
"","Data: Water Quality","1928","2"
"","Data: Water Quality","1928","3"
"10","Data: Water Quality","1994",""
"","Data: Water Quality","1994","1"
"","Data: Water Quality","1994","2"
"","Data: Water Quality","1994","3"
"10","Data: Water Quality","1997",""
"","Data: Water Quality","1997","1"
"","Data: Water Quality","1997","2"
"","Data: Water Quality","1997","3"
"","Data: Water Quality","2236",""
"","Data: Water Quality","2236","1"
"","Data: Water Quality","2236","2"
"","Data: Water Quality","2236","3"
"3.4","Data: Water Quality","2237",""
"5.21","Data: Water Quality","2237","1"
"4.3","Data: Water Quality","2237","2"
"4.2","Data: Water Quality","2237","3"
"","Data: Water Quality","2303",""
"","Data: Water Quality","2303","1"
"","Data: Water Quality","2303","2"
"","Data: Water Quality","2303","3"
"8.1","Data: Water Quality","2310",""
"5","Data: Water Quality","2310","1"
"","Data: Water Quality","2310","2"
"","Data: Water Quality","2310","3"
"6.6","Data: Water Quality","2311",""
"6.6","Data: Water Quality","2311","1"
"7.3","Data: Water Quality","2311","2"
"8.2","Data: Water Quality","2311","3"
"24","Data: Water Quality","2340",""
"16.5","Data: Water Quality","2340","1"
"11.5","Data: Water Quality","2340","2"
"19.1","Data: Water Quality","2340","3"
"1.3","Data: Water Quality","2367",""
"1.3","Data: Water Quality","2367","1"
"1.01","Data: Water Quality","2367","2"
"1.1","Data: Water Quality","2367","3"
"1.09","Data: Water Quality","2373",""
"1.07","Data: Water Quality","2373","1"
"1.1","Data: Water Quality","2373","2"
"1.05","Data: Water Quality","2373","3"
"66","Data: Water Quality","2375",""
"88","Data: Water Quality","2375","1"
"99","Data: Water Quality","2375","2"
"22","Data: Water Quality","2375","3"
"1.08","Data: Water Quality","2376",""
"1.07","Data: Water Quality","2376","1"
"1.05","Data: Water Quality","2376","2"
"1.1","Data: Water Quality","2376","3"
"1.08","Data: Water Quality","2381",""
"1.1","Data: Water Quality","2381","1"
"1.74","Data: Water Quality","2381","2"
"1.7","Data: Water Quality","2381","3"
"","Data: Water Quality","2408",""
"","Data: Water Quality","2408","1"
"","Data: Water Quality","2408","2"
"","Data: Water Quality","2408","3"
"","Data: Water Quality","2432",""
"10","Data: Water Quality","2432","1"
"","Data: Water Quality","2432","2"
"","Data: Water Quality","2432","3"
"","Data: Water Quality","2435",""
"10","Data: Water Quality","2435","1"
"","Data: Water Quality","2435","2"
"","Data: Water Quality","2435","3"
"","Data: Water Quality","2454",""
"","Data: Water Quality","2454","1"
"10","Data: Water Quality","2454","2"
"14","Data: Water Quality","2454","3"
"","Data: Water Quality","2458",""
"","Data: Water Quality","2458","1"
"10","Data: Water Quality","2458","2"
"","Data: Water Quality","2458","3"
"0.86","Data: Water Quality","2591",""
"","Data: Water Quality","2591","1"
"","Data: Water Quality","2591","2"
"","Data: Water Quality","2591","3"
"5","Data: Water Quality","2597",""
"5","Data: Water Quality","2597","1"
"","Data: Water Quality","2597","2"
"","Data: Water Quality","2597","3"
"10","Data: Water Quality","2655",""
"","Data: Water Quality","2655","1"
"","Data: Water Quality","2655","2"
"","Data: Water Quality","2655","3"
"","Data: Water Quality","2656",""
"","Data: Water Quality","2656","1"
"","Data: Water Quality","2656","2"
"","Data: Water Quality","2656","3"
"10","Data: Water Quality","2657",""
"10","Data: Water Quality","2657","1"
"10","Data: Water Quality","2657","2"
"10","Data: Water Quality","2657","3"
"3","Data: Water Quality","2658",""
"","Data: Water Quality","2658","1"
"","Data: Water Quality","2658","2"
"","Data: Water Quality","2658","3"
"5","Data: Water Quality","2659",""
"5","Data: Water Quality","2659","1"
"5","Data: Water Quality","2659","2"
"5","Data: Water Quality","2659","3"
"20","Data: Water Quality","2664",""
"","Data: Water Quality","2664","1"
"","Data: Water Quality","2664","2"
"","Data: Water Quality","2664","3"
"1","Data: Water Quality","2671",""
"1","Data: Water Quality","2671","1"
"1","Data: Water Quality","2671","2"
"1","Data: Water Quality","2671","3"
"1","Data: Water Quality","2672",""
"1","Data: Water Quality","2672","1"
"1","Data: Water Quality","2672","2"
"1","Data: Water Quality","2672","3"
"","Data: Water Quality","2682",""
"","Data: Water Quality","2682","1"
"","Data: Water Quality","2682","2"
"","Data: Water Quality","2682","3"
"20","Data: Water Quality","2688",""
"","Data: Water Quality","2688","1"
"","Data: Water Quality","2688","2"
"","Data: Water Quality","2688","3"
"","Data: Water Quality","2693",""
"","Data: Water Quality","2693","1"
"","Data: Water Quality","2693","2"
"","Data: Water Quality","2693","3"
"","Data: Water Quality","2717",""
"","Data: Water Quality","2717","1"
"70","Data: Water Quality","2717","2"
"37","Data: Water Quality","2717","3"
"","Data: Water Quality","2724",""
"","Data: Water Quality","2724","1"
"","Data: Water Quality","2724","2"
"37","Data: Water Quality","2724","3"
"","Data: Water Quality","2730",""
"","Data: Water Quality","2730","1"
"95","Data: Water Quality","2730","2"
"36","Data: Water Quality","2730","3"
"","Data: Water Quality","2731",""
"","Data: Water Quality","2731","1"
"","Data: Water Quality","2731","2"
"","Data: Water Quality","2731","3"
"","Data: Water Quality","2735",""
"","Data: Water Quality","2735","1"
"95","Data: Water Quality","2735","2"
"36","Data: Water Quality","2735","3"
"","Data: Water Quality","2737",""
"","Data: Water Quality","2737","1"
"100","Data: Water Quality","2737","2"
"100","Data: Water Quality","2737","3"
"","Data: Water Quality","2742",""
"","Data: Water Quality","2742","1"
"","Data: Water Quality","2742","2"
"37","Data: Water Quality","2742","3"
"","Data: Water Quality","2748",""
"","Data: Water Quality","2748","1"
"","Data: Water Quality","2748","2"
"","Data: Water Quality","2748","3"
"","Data: Water Quality","2749",""
"","Data: Water Quality","2749","1"
"","Data: Water Quality","2749","2"
"","Data: Water Quality","2749","3"
"","Data: Water Quality","2750",""
"","Data: Water Quality","2750","1"
"","Data: Water Quality","2750","2"
"","Data: Water Quality","2750","3"
"","Data: Water Quality","2751",""
"","Data: Water Quality","2751","1"
"","Data: Water Quality","2751","2"
"","Data: Water Quality","2751","3"
"20","Data: Water Quality","2757",""
"","Data: Water Quality","2757","1"
"","Data: Water Quality","2757","2"
"","Data: Water Quality","2757","3"
"20","Data: Water Quality","2758",""
"","Data: Water Quality","2758","1"
"","Data: Water Quality","2758","2"
"","Data: Water Quality","2758","3"
"20","Data: Water Quality","2759",""
"","Data: Water Quality","2759","1"
"","Data: Water Quality","2759","2"
"","Data: Water Quality","2759","3"
"20","Data: Water Quality","2760",""
"","Data: Water Quality","2760","1"
"","Data: Water Quality","2760","2"
"","Data: Water Quality","2760","3"
"20","Data: Water Quality","2761",""
"","Data: Water Quality","2761","1"
"","Data: Water Quality","2761","2"
"","Data: Water Quality","2761","3"
"40","Data: Water Quality","2769",""
"","Data: Water Quality","2769","1"
"","Data: Water Quality","2769","2"
"","Data: Water Quality","2769","3"
"10","Data: Water Quality","2770",""
"","Data: Water Quality","2770","1"
"","Data: Water Quality","2770","2"
"","Data: Water Quality","2770","3"
"30","Data: Water Quality","2771",""
"","Data: Water Quality","2771","1"
"","Data: Water Quality","2771","2"
"","Data: Water Quality","2771","3"
"20","Data: Water Quality","2783",""
"","Data: Water Quality","2783","1"
"","Data: Water Quality","2783","2"
