"Water Temperature","Type","Nid","Delta"
"14.4","Data: Water Quality","1629",""
"","Data: Water Quality","1629","1"
"","Data: Water Quality","1629","2"
"","Data: Water Quality","1629","3"
"58.65","Data: Water Quality","1630",""
"","Data: Water Quality","1630","1"
"","Data: Water Quality","1630","2"
"","Data: Water Quality","1630","3"
"14.4","Data: Water Quality","1637",""
"","Data: Water Quality","1637","1"
"","Data: Water Quality","1637","2"
"","Data: Water Quality","1637","3"
"42","Data: Water Quality","1690",""
"39","Data: Water Quality","1690","1"
"40","Data: Water Quality","1690","2"
"37","Data: Water Quality","1690","3"
"50","Data: Water Quality","1928",""
"","Data: Water Quality","1928","1"
"","Data: Water Quality","1928","2"
"","Data: Water Quality","1928","3"
"54","Data: Water Quality","1994",""
"","Data: Water Quality","1994","1"
"","Data: Water Quality","1994","2"
"","Data: Water Quality","1994","3"
"55","Data: Water Quality","1997",""
"","Data: Water Quality","1997","1"
"","Data: Water Quality","1997","2"
"","Data: Water Quality","1997","3"
"","Data: Water Quality","2236",""
"","Data: Water Quality","2236","1"
"","Data: Water Quality","2236","2"
"","Data: Water Quality","2236","3"
"33","Data: Water Quality","2237",""
"33","Data: Water Quality","2237","1"
"33","Data: Water Quality","2237","2"
"33","Data: Water Quality","2237","3"
"38.4","Data: Water Quality","2303",""
"38.6","Data: Water Quality","2303","1"
"38.66","Data: Water Quality","2303","2"
"36.68","Data: Water Quality","2303","3"
"34.16","Data: Water Quality","2310",""
"36.3","Data: Water Quality","2310","1"
"35.06","Data: Water Quality","2310","2"
"33.26","Data: Water Quality","2310","3"
"35.96","Data: Water Quality","2311",""
"35.78","Data: Water Quality","2311","1"
"47.8","Data: Water Quality","2311","2"
"36.14","Data: Water Quality","2311","3"
"2.8","Data: Water Quality","2340",""
"3.3","Data: Water Quality","2340","1"
"3.8","Data: Water Quality","2340","2"
"3.7","Data: Water Quality","2340","3"
"45","Data: Water Quality","2367",""
"43","Data: Water Quality","2367","1"
"46","Data: Water Quality","2367","2"
"42","Data: Water Quality","2367","3"
"14","Data: Water Quality","2373",""
"20","Data: Water Quality","2373","1"
"21","Data: Water Quality","2373","2"
"22","Data: Water Quality","2373","3"
"61","Data: Water Quality","2375",""
"64","Data: Water Quality","2375","1"
"68","Data: Water Quality","2375","2"
"72","Data: Water Quality","2375","3"
"14","Data: Water Quality","2376",""
"15","Data: Water Quality","2376","1"
"13","Data: Water Quality","2376","2"
"16","Data: Water Quality","2376","3"
"12","Data: Water Quality","2381",""
"14","Data: Water Quality","2381","1"
"11","Data: Water Quality","2381","2"
"12","Data: Water Quality","2381","3"
"","Data: Water Quality","2408",""
"","Data: Water Quality","2408","1"
"","Data: Water Quality","2408","2"
"","Data: Water Quality","2408","3"
"51","Data: Water Quality","2432",""
"49","Data: Water Quality","2432","1"
"58","Data: Water Quality","2432","2"
"","Data: Water Quality","2432","3"
"51","Data: Water Quality","2435",""
"49","Data: Water Quality","2435","1"
"58","Data: Water Quality","2435","2"
"","Data: Water Quality","2435","3"
"53","Data: Water Quality","2454",""
"51","Data: Water Quality","2454","1"
"54","Data: Water Quality","2454","2"
"50","Data: Water Quality","2454","3"
"57","Data: Water Quality","2458",""
"56","Data: Water Quality","2458","1"
"56","Data: Water Quality","2458","2"
"57","Data: Water Quality","2458","3"
"12","Data: Water Quality","2591",""
"","Data: Water Quality","2591","1"
"","Data: Water Quality","2591","2"
"","Data: Water Quality","2591","3"
"48.5","Data: Water Quality","2597",""
"50","Data: Water Quality","2597","1"
"","Data: Water Quality","2597","2"
"","Data: Water Quality","2597","3"
"48","Data: Water Quality","2655",""
"","Data: Water Quality","2655","1"
"","Data: Water Quality","2655","2"
"","Data: Water Quality","2655","3"
"","Data: Water Quality","2656",""
