"Ammonia (mg/L)","Type","Nid","Ammonia (mg/L) (field_ammonia) - delta"
"","Data: Water Quality","1629",""
"","Data: Water Quality","1629","1"
"","Data: Water Quality","1629","2"
"","Data: Water Quality","1629","3"
"","Data: Water Quality","1630",""
"","Data: Water Quality","1630","1"
"","Data: Water Quality","1630","2"
"","Data: Water Quality","1630","3"
"","Data: Water Quality","1637",""
"","Data: Water Quality","1637","1"
"","Data: Water Quality","1637","2"
"","Data: Water Quality","1637","3"
"","Data: Water Quality","1690",""
"","Data: Water Quality","1690","1"
"","Data: Water Quality","1690","2"
"","Data: Water Quality","1690","3"
"","Data: Water Quality","1928",""
"","Data: Water Quality","1928","1"
"","Data: Water Quality","1928","2"
"","Data: Water Quality","1928","3"
"","Data: Water Quality","1994",""
"","Data: Water Quality","1994","1"
"","Data: Water Quality","1994","2"
"","Data: Water Quality","1994","3"
"","Data: Water Quality","1997",""
"","Data: Water Quality","1997","1"
"","Data: Water Quality","1997","2"
"","Data: Water Quality","1997","3"
"","Data: Water Quality","2236",""
"","Data: Water Quality","2236","1"
"","Data: Water Quality","2236","2"
"","Data: Water Quality","2236","3"
"","Data: Water Quality","2237",""
"","Data: Water Quality","2237","1"
"","Data: Water Quality","2237","2"
"","Data: Water Quality","2237","3"
"","Data: Water Quality","2303",""
"","Data: Water Quality","2310",""
"","Data: Water Quality","2311",""
"","Data: Water Quality","2340",""
"","Data: Water Quality","2340","1"
"","Data: Water Quality","2340","2"
"","Data: Water Quality","2340","3"
"1.5","Data: Water Quality","2367",""
"2.13","Data: Water Quality","2367","1"
"1.91","Data: Water Quality","2367","2"
"2.09","Data: Water Quality","2367","3"
"2.14","Data: Water Quality","2373",""
"2.23","Data: Water Quality","2373","1"
"1.99","Data: Water Quality","2373","2"
"1.96","Data: Water Quality","2373","3"
"33","Data: Water Quality","2375",""
"55","Data: Water Quality","2375","1"
"88","Data: Water Quality","2375","2"
"11","Data: Water Quality","2375","3"
"2.98","Data: Water Quality","2376",""
"1.99","Data: Water Quality","2376","1"
"2.34","Data: Water Quality","2376","2"
"2.09","Data: Water Quality","2376","3"
"2.34","Data: Water Quality","2381",""
"1.76","Data: Water Quality","2381","1"
"2.11","Data: Water Quality","2381","2"
"1.89","Data: Water Quality","2381","3"
"","Data: Water Quality","2408",""
"","Data: Water Quality","2408","1"
"","Data: Water Quality","2408","2"
"","Data: Water Quality","2408","3"
"","Data: Water Quality","2432",""
"","Data: Water Quality","2432","1"
"","Data: Water Quality","2432","2"
"","Data: Water Quality","2432","3"
"","Data: Water Quality","2435",""
"","Data: Water Quality","2435","1"
"","Data: Water Quality","2435","2"
"","Data: Water Quality","2435","3"
"","Data: Water Quality","8271",""
"","Data: Water Quality","8271","1"
"","Data: Water Quality","8271","2"
"","Data: Water Quality","8271","3"
"","Data: Water Quality","8276",""
"","Data: Water Quality","8276","1"
"","Data: Water Quality","8276","2"
"","Data: Water Quality","8276","3"
"","Data: Water Quality","30981",""
"","Data: Water Quality","30981","1"
"","Data: Water Quality","30981","2"
"","Data: Water Quality","30981","3"
