"Dissolved Oxygen (mg/L)","Type","Nid","Dissolved Oxygen (mg/L) (field_dissolved_oxygen) - delta"
"","Data: Water Quality","1629",""
"","Data: Water Quality","1629","1"
"","Data: Water Quality","1629","2"
"","Data: Water Quality","1629","3"
"","Data: Water Quality","1630",""
"","Data: Water Quality","1630","1"
"","Data: Water Quality","1630","2"
"","Data: Water Quality","1630","3"
"","Data: Water Quality","1637",""
"","Data: Water Quality","1637","1"
"","Data: Water Quality","1637","2"
"","Data: Water Quality","1637","3"
"3.4","Data: Water Quality","1690",""
"4.5","Data: Water Quality","1690","1"
"3.9","Data: Water Quality","1690","2"
"3.7","Data: Water Quality","1690","3"
"10","Data: Water Quality","1928",""
"","Data: Water Quality","1928","1"
"","Data: Water Quality","1928","2"
"","Data: Water Quality","1928","3"
"14","Data: Water Quality","1994",""
"","Data: Water Quality","1994","1"
"","Data: Water Quality","1994","2"
"","Data: Water Quality","1994","3"
"14","Data: Water Quality","1997",""
"","Data: Water Quality","1997","1"
"","Data: Water Quality","1997","2"
"","Data: Water Quality","1997","3"
"34","Data: Water Quality","2236",""
"23","Data: Water Quality","2236","1"
"22","Data: Water Quality","2236","2"
"22","Data: Water Quality","2236","3"
"2.3","Data: Water Quality","2237",""
"3","Data: Water Quality","2237","1"
"2.6","Data: Water Quality","2237","2"
"3.1","Data: Water Quality","2237","3"
"","Data: Water Quality","2303",""
"","Data: Water Quality","2303","1"
"","Data: Water Quality","2303","2"
"","Data: Water Quality","2303","3"
"8.2","Data: Water Quality","2310",""
"8","Data: Water Quality","2310","1"
"9.6","Data: Water Quality","2310","2"
"9.6","Data: Water Quality","2310","3"
"6.7","Data: Water Quality","2311",""
"10.8","Data: Water Quality","2311","1"
"7.3","Data: Water Quality","2311","2"
"9.9","Data: Water Quality","2311","3"
"10.1","Data: Water Quality","2340",""
"10.9","Data: Water Quality","2340","1"
"7.6","Data: Water Quality","2340","2"
"7.3","Data: Water Quality","2340","3"
"3.4","Data: Water Quality","2367",""
"4.5","Data: Water Quality","2367","1"
"3.4","Data: Water Quality","2367","2"
"4.1","Data: Water Quality","2367","3"
"","Data: Water Quality","2373",""
"","Data: Water Quality","2373","1"
"","Data: Water Quality","2373","2"
"","Data: Water Quality","2373","3"
"30","Data: Water Quality","2375",""
"20","Data: Water Quality","2375","1"
"10","Data: Water Quality","2375","2"
"50","Data: Water Quality","2375","3"
"","Data: Water Quality","2376",""
"","Data: Water Quality","2376","1"
"","Data: Water Quality","2376","2"
"","Data: Water Quality","2376","3"
"","Data: Water Quality","2381",""
"","Data: Water Quality","2381","1"
"","Data: Water Quality","2381","2"
"","Data: Water Quality","2381","3"
"","Data: Water Quality","2408",""
"","Data: Water Quality","2408","1"
"","Data: Water Quality","2408","2"
"","Data: Water Quality","2408","3"
"7","Data: Water Quality","2432",""
"7","Data: Water Quality","2432","1"
"8","Data: Water Quality","2432","2"
"8.5","Data: Water Quality","2432","3"
"7","Data: Water Quality","2435",""
"7","Data: Water Quality","2435","1"
"8","Data: Water Quality","2435","2"
"8.5","Data: Water Quality","2435","3"
"11","Data: Water Quality","8271",""
"11","Data: Water Quality","8271","1"
"12","Data: Water Quality","8271","2"
"11","Data: Water Quality","8271","3"
"12","Data: Water Quality","8276",""
"12","Data: Water Quality","8276","1"
"12","Data: Water Quality","8276","2"
"12","Data: Water Quality","8276","3"
"7","Data: Water Quality","30981",""
"","Data: Water Quality","30981","1"
"","Data: Water Quality","30981","2"
"","Data: Water Quality","30981","3"
