"pH","Type","Nid","pH (field_ph) - delta"
"7.76","Data: Water Quality","1629",""
"","Data: Water Quality","1629","1"
"","Data: Water Quality","1629","2"
"","Data: Water Quality","1629","3"
"7.95","Data: Water Quality","1630",""
"6.65","Data: Water Quality","1630","1"
"","Data: Water Quality","1630","2"
"","Data: Water Quality","1630","3"
"6.08","Data: Water Quality","1637",""
"","Data: Water Quality","1637","1"
"","Data: Water Quality","1637","2"
"","Data: Water Quality","1637","3"
"7.7","Data: Water Quality","1690",""
"7.8","Data: Water Quality","1690","1"
"7.9","Data: Water Quality","1690","2"
"7.7","Data: Water Quality","1690","3"
"7","Data: Water Quality","1928",""
"","Data: Water Quality","1928","1"
"","Data: Water Quality","1928","2"
"","Data: Water Quality","1928","3"
"7","Data: Water Quality","1994",""
"","Data: Water Quality","1994","1"
"","Data: Water Quality","1994","2"
"","Data: Water Quality","1994","3"
"7","Data: Water Quality","1997",""
"","Data: Water Quality","1997","1"
"","Data: Water Quality","1997","2"
"","Data: Water Quality","1997","3"
"7.8","Data: Water Quality","2236",""
"8.2","Data: Water Quality","2236","1"
"7.9","Data: Water Quality","2236","2"
"8","Data: Water Quality","2236","3"
"6.9","Data: Water Quality","2237",""
"7.4","Data: Water Quality","2237","1"
"6.9","Data: Water Quality","2237","2"
"7.2","Data: Water Quality","2237","3"
"7.3","Data: Water Quality","2303",""
"5.25","Data: Water Quality","2303","1"
"6.72","Data: Water Quality","2303","2"
"","Data: Water Quality","2303","3"
"6.5","Data: Water Quality","2310",""
"7.35","Data: Water Quality","2310","1"
"6.66","Data: Water Quality","2310","2"
"6.66","Data: Water Quality","2310","3"
"5.71","Data: Water Quality","2311",""
"6.7","Data: Water Quality","2311","1"
"5.8","Data: Water Quality","2311","2"
"6.8","Data: Water Quality","2311","3"
"6.2","Data: Water Quality","2340",""
"6.67","Data: Water Quality","2340","1"
"6.93","Data: Water Quality","2340","2"
"6.71","Data: Water Quality","2340","3"
"7.7","Data: Water Quality","2367",""
"7.4","Data: Water Quality","2367","1"
"7.9","Data: Water Quality","2367","2"
"7.8","Data: Water Quality","2367","3"
"","Data: Water Quality","2373",""
"","Data: Water Quality","2373","1"
"","Data: Water Quality","2373","2"
"","Data: Water Quality","2373","3"
"7","Data: Water Quality","2375",""
"25","Data: Water Quality","2375","1"
"50","Data: Water Quality","2375","2"
"1","Data: Water Quality","2375","3"
"6.8","Data: Water Quality","2376",""
"7","Data: Water Quality","2376","1"
"6.9","Data: Water Quality","2376","2"
"7","Data: Water Quality","2376","3"
"","Data: Water Quality","2381",""
"","Data: Water Quality","2381","1"
"","Data: Water Quality","2381","2"
"","Data: Water Quality","2381","3"
"6.8","Data: Water Quality","2408",""
"6.9","Data: Water Quality","2408","1"
"6.7","Data: Water Quality","2408","2"
"7","Data: Water Quality","2408","3"
"6.5","Data: Water Quality","2432",""
"7","Data: Water Quality","2432","1"
"6.5","Data: Water Quality","2432","2"
"9","Data: Water Quality","2432","3"
"6.5","Data: Water Quality","2435",""
"7","Data: Water Quality","2435","1"
"6.5","Data: Water Quality","2435","2"
"9","Data: Water Quality","2435","3"
"7","Data: Water Quality","8271",""
"7","Data: Water Quality","8271","1"
"7","Data: Water Quality","8271","2"
"7","Data: Water Quality","8271","3"
"7","Data: Water Quality","8276",""
"7","Data: Water Quality","8276","1"
"7","Data: Water Quality","8276","2"
"7","Data: Water Quality","8276","3"
"6.5","Data: Water Quality","30981",""
"6.5","Data: Water Quality","30981","1"
"","Data: Water Quality","30981","2"
"","Data: Water Quality","30981","3"
