"Salinity (PSU) PPT","Type","Nid","Salinity (PSU) PPT (field_salinity) - delta"
"","Data: Water Quality","1629",""
"","Data: Water Quality","1630",""
"","Data: Water Quality","1637",""
"","Data: Water Quality","1690",""
"","Data: Water Quality","1928",""
"","Data: Water Quality","1994",""
"","Data: Water Quality","1997",""
"","Data: Water Quality","2236",""
"","Data: Water Quality","2237",""
"","Data: Water Quality","2303",""
"","Data: Water Quality","2310",""
"","Data: Water Quality","2311",""
"","Data: Water Quality","2340",""
"","Data: Water Quality","2367",""
"","Data: Water Quality","2373",""
"","Data: Water Quality","2375",""
"","Data: Water Quality","2376",""
"","Data: Water Quality","2381",""
"","Data: Water Quality","2408",""
"","Data: Water Quality","2432",""
"","Data: Water Quality","2435",""
"","Data: Water Quality","8271",""
"","Data: Water Quality","8271","1"
"","Data: Water Quality","8271","2"
"","Data: Water Quality","8271","3"
"","Data: Water Quality","8276",""
"","Data: Water Quality","8276","1"
"","Data: Water Quality","8276","2"
"","Data: Water Quality","8276","3"
"","Data: Water Quality","30981",""
"","Data: Water Quality","30981","1"
"","Data: Water Quality","30981","2"
"","Data: Water Quality","30981","3"
